min;max;avg
-253978,4968755339;-133118,3911019041;-171694,01564409488
-229408,34199311832;-125075,10013262767;-157985,84528236213
-205982,94571641373;-112651,2004437847;-149254,08327197985
-180642,86711581258;-117996,79570468163;-139495,86612845515
-172135,0046426059;-109514,5266806285;-132616,10207363122
-168529,6080367695;-108435,11722022708;-126965,33456211253
-172116,20222776962;-107147,1586300609;-121168,09024576735
-147231,82676403757;-102558,70149828492;-118757,38182423312
-137519,08042928297;-102851,2526464285;-115794,86774810379
-136937,70910608;-97436,0445695314;-112429,82287538797
