min;max;avg
-60318,97949882815;-22783,264650312194;-35267,408833862035
-58524,33484115687;-20498,655877465135;-31814,129048019855
-55709,33529333546;-19594,53914329315;-28699,234610976808
-44772,96739825803;-11427,890097293952;-26327,10018502659
-42300,255890625616;-11427,890097293952;-24243,096506539787
-38837,131348137234;-10473,44216306923;-21839,00951101784
-39977,81407751824;-9037,676346301327;-19538,002947568548
-36146,86142680476;-9518,083752637373;-17258,923095933515
-28661,284400604083;-8624,781284172903;-15499,355797944589
-27321,14998832553;-7694,592465499292;-14003,29558483419
-30401,188116915982;-6487,947572888734;-12403,009517941484
-25300,87807804026;-4383,421679984662;-11186,841449607748
-25262,841822448434;-2112,754136194213;-9641,264981442262
-20853,645973916515;-643,9700139638699;-8078,268736487353
-13517,599131599323;740,0808605474194;-6710,610863401007
-19218,26170424717;740,0808605474194;-5524,825953423669
-12206,095055023048;1314,4277399001585;-4314,194435466117
-11092,909141553668;1926,190965661579;-2985,3522122211525
-8876,680186627585;2257,7477200294925;-1695,349571880498
-6179,792944481778;3855,659737467693;-645,6931212305143
-5302,967100181399;4411,429646244163;195,11317500050225
-4805,759943223995;4411,429646244163;1205,810642771244
-4424,455794161775;5863,747065606571;1893,1806271485182
-2577,576012849022;6329,034340380891;2668,7681049869057
-1431,6753379887377;6719,348766376981;3454,801460265572
-500,0555930005321;9180,424751959763;4189,381694617595
-1334,2857018555223;9207,928490149723;4925,020144130609
1114,2202294596464;9678,166458591193;5801,227475754999
1980,4449922071362;9969,586002892105;6548,406359318296
1419,11746578155;10406,648216899874;7292,788400067332
2088,668420512131;11810,578855979064;8108,790300830148
4467,810032652884;12247,531025502027;8949,480812791715
5649,556863004931;12564,865586064996;9825,411168299814
6347,166151013513;12645,456055599381;10463,956325191211
2518,5618354988037;13877,821153132012;11126,992315239557
7094,314542219949;14257,311228324263;11664,49673935293
6943,3872028362275;14887,289284429957;12160,563767738657
7739,871681779565;16095,207511666707;12667,205933488638
7483,550555934802;16583,49623777229;13214,02546790611
8318,865178414308;16583,49623777229;13702,42028059049
10698,344016163162;16583,49623777229;14374,656538984591
10541,182974040472;16594,14949239721;14833,177543033866
10739,607157614311;17116,45540296839;15274,195026200732
10627,347736554504;16972,01542122013;15487,48524391736
9870,490187618445;17414,23386956089;15841,76465175525
10528,168299345998;17414,23386956089;15965,569835217642
11503,915893929774;17225,52963793283;16107,911400967292
10131,116532150209;17225,52963793283;16101,442223474089
10329,643162435597;17414,23386956089;16224,692494950516
11106,40867233865;17414,23386956089;16479,12465540279
9932,695823482976;17414,23386956089;16364,25390888028
11228,616327479296;17602,935727889748;16448,363237325677
9734,27362378452;17602,935727889748;16314,09198354186
10708,896563041337;17602,935727889748;16492,861247536763
10831,020405331205;17602,935727889748;16513,913589725005
11875,665701910882;17602,935727889748;16646,038138218857
9734,27362378452;17602,935727889748;16694,45401867843
11875,665701910882;17602,935727889748;16804,70094452997
11875,665701910882;17602,935727889748;16917,152053452817
8940,35526328746;17602,935727889748;16730,079580115584
8940,35526328746;17602,935727889748;16790,001347796147
8940,35526328746;17602,935727889748;16862,519313594614
8940,35526328746;17602,935727889748;16692,42734830266
8940,35526328746;17602,935727889748;16698,55612520383
8940,35526328746;17602,935727889748;16779,948808327634
11875,665701910882;17602,935727889748;16817,707279919436
11875,665701910882;17602,935727889748;16740,89321271435
11875,665701910882;17602,935727889748;16901,009645793598
11875,665701910882;17602,935727889748;16746,97891942023
8940,35526328746;17602,935727889748;16598,78062502585
11875,665701910882;17602,935727889748;16774,1400042322
8940,35526328746;17602,935727889748;16689,55715306872
11875,665701910882;17602,935727889748;16592,833264573746
8940,35526328746;17602,935727889748;16709,03970261362
8940,35526328746;17602,935727889748;16670,95022128152
11875,665701910882;17602,935727889748;16827,55784404666
4953,04369868623;17602,935727889748;16737,622844199163
8940,35526328746;17602,935727889748;16617,57744794915
8940,35526328746;17602,935727889748;16662,58336520749
8940,35526328746;17602,935727889748;16775,779106369624
11875,665701910882;17602,935727889748;16713,622934286606
8940,35526328746;17602,935727889748;16737,454326853334
8940,35526328746;17602,935727889748;16723,979900669532
11875,665701910882;17602,935727889748;16682,308036407125
11875,665701910882;17602,935727889748;16722,913032999055
8940,35526328746;17602,935727889748;16673,448368603855
8940,35526328746;17602,935727889748;16742,524618071562
11875,665701910882;17602,935727889748;16839,50583826464
8940,35526328746;17602,935727889748;16599,933348256738
8940,35526328746;17602,935727889748;16739,698903847708
8940,35526328746;17602,935727889748;16632,050601057876
8940,35526328746;17602,935727889748;16628,943310744766
8940,35526328746;17602,935727889748;16624,50071491701
8940,35526328746;17602,935727889748;16773,327304700924
8940,35526328746;17602,935727889748;16804,719350689866
11875,665701910882;17602,935727889748;16791,164772837394
8940,35526328746;17602,935727889748;16738,25108856822
11875,665701910882;17602,935727889748;16709,563512274326
8940,35526328746;17602,935727889748;16699,514055095788
11875,665701910882;17602,935727889748;16584,678914983
11875,665701910882;17602,935727889748;16679,36660077181
8940,35526328746;17602,935727889748;16499,88010734342
8940,35526328746;17602,935727889748;16534,107267540214
8940,35526328746;17602,935727889748;16602,28853382767
8940,35526328746;17602,935727889748;16638,274496138325
8940,35526328746;17602,935727889748;16527,69000901489
8940,35526328746;17602,935727889748;16579,537914342367
11875,665701910882;17602,935727889748;16582,246784712268
11875,665701910882;17602,935727889748;16764,489781337455
8940,35526328746;17602,935727889748;16471,905339808996
11875,665701910882;17602,935727889748;16706,86498636138
8940,35526328746;17602,935727889748;16689,037422258985
8940,35526328746;17602,935727889748;16572,125848553627
8940,35526328746;17602,935727889748;16555,51155141495
8940,35526328746;17602,935727889748;16622,460050075515
8940,35526328746;17602,935727889748;16684,421138426416
11875,665701910882;17602,935727889748;16672,39464041734
11875,665701910882;17602,935727889748;16642,870660057597
8940,35526328746;17602,935727889748;16698,162471958014
8940,35526328746;17602,935727889748;16720,381643626424
11875,665701910882;17602,935727889748;16667,227944188406
8940,35526328746;17602,935727889748;16746,62662174731
8940,35526328746;17602,935727889748;16784,26178373089
11875,665701910882;17602,935727889748;16755,593549610345
8940,35526328746;17602,935727889748;16720,008773067977
8940,35526328746;17602,935727889748;16717,68315806236
8940,35526328746;17602,935727889748;16728,626428314303
8940,35526328746;17602,935727889748;16644,710865105317
8940,35526328746;17602,935727889748;16722,704612024583
8940,35526328746;17602,935727889748;16672,007502159322
8940,35526328746;17602,935727889748;16701,021977360702
8940,35526328746;17602,935727889748;16796,95947353328
8940,35526328746;17602,935727889748;16828,92156108871
11875,665701910882;17602,935727889748;16707,092653093692
8940,35526328746;17602,935727889748;16680,76442787174
11875,665701910882;17602,935727889748;16667,629783920962
4953,04369868623;17602,935727889748;16659,55022173524
11875,665701910882;17602,935727889748;16646,177921893937
8940,35526328746;17602,935727889748;16693,925548596882
11875,665701910882;17602,935727889748;16761,92389151941
8940,35526328746;17602,935727889748;16699,062523571414
11875,665701910882;17602,935727889748;16759,01688685182
11875,665701910882;17602,935727889748;16936,41011969508
11875,665701910882;17602,935727889748;16755,447830390036
11875,665701910882;17602,935727889748;16612,17000348841
8940,35526328746;17602,935727889748;16696,340023909033
8940,35526328746;17602,935727889748;16704,30249396817
8940,35526328746;17602,935727889748;16727,791414364867
8940,35526328746;17602,935727889748;16650,736689363534
8940,35526328746;17602,935727889748;16583,991016302443
8940,35526328746;17602,935727889748;16567,876892345455
8940,35526328746;17602,935727889748;16669,238458576976
8940,35526328746;17602,935727889748;16703,74685554869
8940,35526328746;17602,935727889748;16768,638158067755
