min;max;avg
-768573,7744196344;-425310,53562576603;-567037,7291174197
-780609,335510425;-365906,29876118735;-504445,10837709176
-713182,5917483151;-341452,76738924545;-455192,58024032303
-570238,237108637;-318455,3237699253;-413358,3628264255
-546522,7085541345;-298133,97038683714;-387074,8508944595
-676099,8806447638;-247464,75339244155;-374141,1050210559
-676099,8806447638;-237109,2902538518;-347535,5102105508
-473903,4189759204;-219889,3850365528;-303400,65350104956
-499418,36025052064;-202456,5041403944;-270212,61620070285
-378830,71866711555;-191053,83235287585;-249736,38423716114
-379636,7810992575;-169491,1996705744;-237225,2837450991
-379636,7810992575;-169491,1996705744;-224467,0150309913
-435131,9293508496;-146512,92797650967;-222832,87187550965
-448267,9382080658;-118865,4039236774;-205565,9405876442
-439108,956937051;-133340,2366808456;-199013,84844809244
-430558,0049211016;-133340,2366808456;-210682,23368407437
-438317,9318367655;-120966,3245754771;-226237,34264291852
-491483,424146964;-102633,4102845462;-226478,98749509797
-444500,30259200477;-80183,15510593774;-242704,15358398887
-558887,7149498666;-80183,15510593774;-293562,5597504551
-563175,3099773861;-74777,78386904887;-175764,36699071445
-544646,4750920011;-72894,73356785631;-109780,73053155346
-234702,90212644287;-60789,30626868113;-102776,30204823495
-294799,0249231163;-60789,30626868113;-109449,47950407845
-325078,00234488014;-53057,78564282681;-103810,36877356308
-319150,36843224755;-48013,78689711931;-79238,6471998817
-151073,27375606564;-44841,230475779914;-70115,95756030826
-182862,2937864908;-35166,50855831843;-67938,72368133359
-182862,2937864908;-30880,356160511612;-65217,95731925094
-227988,46279270202;-30880,356160511612;-64743,555600546424
-227988,46279270202;-25776,672559245722;-50384,908792033726
-125984,52248687937;-17781,606985051243;-45475,26471425258
-157962,27411351074;-15351,97995752527;-45032,137179246005
-172594,22998137935;-9849,66993201722;-38961,72173588033
-118806,92102416558;-658,4574830587953;-30273,645838240962
-105396,21937327989;-658,4574830587953;-26574,170836418773
-139002,5940722007;1208,0873162428034;-23276,36801659029
-135206,60568033904;1208,0873162428034;-22454,227615989592
-201772,6354893532;6766,251501612423;-23853,953783856603
-278659,1239219655;6766,251501612423;-18435,98281465733
-99666,3183666066;10565,010014848434;-11462,902282848258
-96986,40187959233;11489,80710554769;-7350,893700106246
-125188,70154329186;21713,40582007589;-7318,766621144529
-142296,64221042406;21713,40582007589;-7823,320057350593
-293612,3086187127;21713,40582007589;-23415,004048833704
-303258,86620952364;22797,00774030882;-1394,9233245802136
-177704,78246350074;24634,6505646719;4493,5109537230355
-190970,74642037612;24634,6505646719;497,3525611015472
-180394,43881043955;24734,009619367134;5547,2405116618065
-81139,65735779039;25598,842861519603;11441,772697140566
-121498,92706115544;25659,776544824883;8642,529267931435
-172760,77870097663;28183,33312786068;8279,271199089848
-139621,4328610181;30331,308717054548;9063,424691364306
-118028,41243463295;31327,27103871788;12440,451444755387
