min;max;avg
196308,66560155377;227706,53146556718;214420,16998834192
199417,3950665987;230153,17512221265;217394,96417745732
196871,2385942546;230951,5391650368;220108,90269048905
203589,0392462511;235589,0632687039;223400,82236829246
209107,76465054488;235589,0632687039;226235,94846014414
217777,56361374902;236555,65568237694;228502,92184458944
211377,2231099365;237835,5147737403;230351,54431384915
221128,4208710737;240710,19616588656;232625,91431685694
226261,150913316;242122,1329774873;234439,16167180127
225321,25343867886;243055,6587768024;236004,5425572911
224936,27787026577;243163,65228433086;237543,35182594357
225839,81173277262;244401,29090448958;239055,9683675809
231175,86128212855;245578,66246944948;240607,44898226415
232852,13914455834;247112,4579837207;241727,71592742475
233168,1444571448;247903,19749001728;242943,03470918487
235958,75120978392;250064,50492512132;243990,06939024245
237102,59762820913;250682,74125995772;244880,62427495644
235589,6337075429;251140,9119465949;245807,17157483366
240099,74773967316;252040,42305303502;246734,71601978963
240463,17373920156;252043,6304282297;247722,52823728905
241121,89178800525;253972,92280366167;248535,98322552376
239437,3719790682;253461,09828084137;249208,94524852268
241793,4370115012;255086,26394674712;250183,52727012578
240729,53401095097;255619,46400399896;250775,9872525877
242244,83213659722;255809,57137807828;251488,68974400818
240730,73259102233;256125,56199025476;252083,62594624213
240193,06543012385;257009,63433272063;252778,44757695022
245023,82011208448;257148,0709764145;253529,03821746295
246744,60943618062;258075,06522122616;254203,38504434732
246834,43974869873;258341,83548878945;254565,00747194162
243621,77174408134;259498,3533117727;254970,59829804458
243868,57621399892;259453,05714324163;255883,12717986017
248690,65609456136;260281,34535071618;256409,49520009017
249822,94146882158;260321,15930036936;256896,69876546573
248583,74815212825;260695,4660019525;257600,7268975854
248107,8060402766;261113,76151554618;258052,46879368296
248248,88578389684;262214,4847046836;258366,06068477835
248450,55743855197;261478,36171269207;258495,66804551677
250477,60867641307;261844,19430688553;258863,9472751178
250015,01874363018;261896,65877883864;259274,39059135618
247795,8711646223;262120,7404487956;259824,92744139014
253360,09959626215;262120,7404487956;260009,72117488872
252439,38600333856;262994,8673719934;260034,2522103721
248577,71128960815;263320,74324011855;260137,15958507502
244409,0181129329;263320,74324011855;260215,3607100047
246399,84716959042;263480,6808560297;260474,81991151412
248444,97834097926;263489,59385224764;260608,40782943065
251582,0355085376;263750,95046882576;260804,69313883438
251447,49667547742;263884,3110860493;261102,3943598223
251447,49667547742;263899,50138247;261553,71191050843
251447,49667547742;264016,9816043435;261637,87009259177
248038,04908605755;264208,58991031157;261385,82450419734
248038,04908605755;264364,29480432114;261477,28478018317
251584,20198882007;264364,29480432114;261620,66245138514
247361,68488283572;264767,9325782399;261639,39609529084
