min;max;avg
36548,596379360475;117502,55070680869;93466,25511436185
72611,10379677001;131454,04916570164;104533,52897679365
87179,6620989785;132041,30921141081;113593,07958246394
99570,20838236943;138272,90244196382;119446,73259200188
72246,48662592284;148585,17256219254;123862,76604471005
99997,82266751453;152106,5266567599;129970,68272524657
109713,80954359309;149781,79763750662;134248,61025402613
111620,23777855773;152885,54578471073;136565,28891304616
108503,2514895598;155704,98076805196;136967,76306997644
117166,25236307617;160201,69331282878;140377,55587159886
112774,02806952823;166459,71529191657;144680,4687156513
129379,56109252799;166459,71529191657;150485,54326115648
127377,2309808782;166459,71529191657;153433,69982070944
128625,50287046228;166616,27297378788;154880,9328126132
146159,52080038007;169814,33269798852;160282,6764789902
135796,79321390262;169814,33269798852;161548,4589802752
149463,36703881004;169814,33269798852;163470,35724355685
144360,55063585285;169814,33269798852;165276,9927733897
152638,30918547095;169814,33269798852;165071,70996084172
143728,9681284865;171216,54423466098;163850,6819409566
140083,20721757953;171216,54423466098;163188,02924536812
145054,75212202454;171216,54423466098;163778,00942372868
142403,8593180444;172615,47123386234;165560,66675069247
138131,3192963635;173465,2344726727;163562,0068866132
131226,49749486096;175174,0676646544;161559,70893895894
136680,33916540843;175174,0676646544;163900,21890444026
130286,99819193827;175713,19028840028;168388,575796532
157870,8901900198;175713,19028840028;170680,94581285474
155234,97611645501;175713,19028840028;171173,34252818435
153799,7616031803;177333,959489259;171800,17129160947
161120,60736369976;176123,12928207655;173038,70918043677
156233,20995685202;177011,66766423336;171615,92956499857
150755,29124092482;179253,96471144655;171946,09592298482
157950,6685702724;179253,96471144655;173507,18595283062
162100,85035274108;179253,96471144655;173962,50885250655
161674,09887666279;179253,96471144655;172306,418950329
152756,88703361008;179253,96471144655;171981,90607049613
158999,49265501832;179253,96471144655;173409,08922660883
151651,07409125907;179807,80566386302;175013,7087291222
159240,3295913664;180580,64208068105;175698,13868917455
161896,50838424312;179807,80566386302;175464,42310020077
157455,81059284008;179807,80566386302;175671,22390968763
153648,4418687498;180513,3971031389;174465,31877701613
139773,35829348167;180513,3971031389;170552,75568948835
143519,11028980988;180513,3971031389;170367,4029312505
147204,8947857287;180513,3971031389;170038,51614863274
151902,11827421642;180513,3971031389;167860,95056068324
144968,09811193042;181312,5721183188;168496,3481148064
143362,21803202527;183703,46552304228;166330,98617518303
140982,63119226624;183703,46552304228;167161,1459067926
140508,01527732765;183703,46552304228;170531,39978105522
143900,5015186048;183909,0533978722;173915,79115596582
143900,5015186048;185782,7706984802;176630,23635135815
156232,4067630347;185883,24103184324;179513,9525236273
161566,52048655323;185883,24103184324;179109,95602099225
158412,66166453995;185883,24103184324;175899,673522226
155392,7262468561;188400,97482543567;179039,0619204457
162964,2257434157;188649,0540992599;184081,69853706897
169040,49211991532;188649,0540992599;184255,2217264636
174745,40870856558;188649,0540992599;183995,75273381977
175014,78173368843;188649,0540992599;184434,26458597765
166700,7955801942;188649,0540992599;184240,93565900446
159419,754407895;188649,0540992599;182394,1965903903
155191,70615603123;188818,98232283053;182426,85837635168
155291,7691532246;188818,98232283053;185950,940828524
172149,12332396873;188818,98232283053;186097,62773205183
173206,23824100482;188818,98232283053;186346,5243440906
173611,71603930136;188818,98232283053;186768,30932340302
173672,70874266795;188818,98232283053;185226,5296884347
161840,5730655293;188818,98232283053;184607,11213351868
164754,44380491693;188818,98232283053;183845,11166532827
164754,44380491693;188818,98232283053;184240,12161784567
157229,42598527973;188818,98232283053;182711,32914848957
153077,49049513237;188818,98232283053;183520,32520524116
153848,76675877103;188818,98232283053;183808,99233809012
153948,72941692162;190168,0121257882;185496,25715016096
162212,5527354814;190268,57611553386;185081,92343165004
159396,4650816637;190268,57611553386;184676,4042188097
162521,49454506155;190268,57611553386;186431,3055284937
165575,2828304941;190460,52010201063;187422,42767855828
160982,69896812458;190268,53806842328;185969,19378429413
165040,55283260677;190268,53806842328;184558,62428099054
164950,96990346065;190268,53806842328;179556,27849114023
150153,06855315604;190268,53806842328;174304,56308771326
151013,67989008047;190268,53806842328;168658,64365403668
141910,9834557935;190268,53806842328;158569,95552608522
142451,2080687097;190268,53806842328;164973,452543798
148479,60350434144;190693,47665258544;170962,09387108608
157729,7433535287;190693,47665258544;171606,2149400783
134464,13568348734;190693,47665258544;168595,18466605153
143291,04372555367;190693,47665258544;167740,09035032906
143067,2402525936;190693,47665258544;169254,45153376722
143067,2402525936;190693,47665258544;175351,49151184398
139940,34492720026;190693,47665258544;179489,51264903735
144030,65088338748;190693,47665258544;177914,23944738955
144240,8734443099;190693,47665258544;177071,1282537533
151219,8097052275;190693,47665258544;178079,1883620479
146045,44027563906;190693,47665258544;178145,8910742902
146782,99859961282;190693,47665258544;181475,02665908713
148017,04508405464;190693,47665258544;178779,38258055408
142963,0409342561;190693,47665258544;178551,08726060067
142432,4637507951;190693,47665258544;179348,64041472197
156323,24798140815;190693,47665258544;181807,749429238
152146,1339891315;190693,47665258544;181587,82313812687
147606,4813318636;190693,47665258544;181418,91495347512
153189,71148805704;190693,47665258544;184504,3614507923
149442,03936142178;190693,47665258544;185695,867052696
175591,8961813101;190693,47665258544;186869,39762886157
166494,80746812403;190794,05284688342;186131,8423082729
175790,65955433343;190794,05284688342;186707,49999297637
167467,69237254135;190995,16717000207;187352,34637003194
167523,9742043393;190995,16717000207;186590,58482060005
154658,6809546239;193008,45691824117;185150,56272298147
152344,75614067787;193008,45691824117;183677,38239484787
157683,4438548992;193008,45691824117;182832,35342538782
155536,74341116997;193008,45691824117;184206,3205332772
155265,32215331125;193008,45691824117;186566,7938658574
176173,6413554734;193008,45691824117;189031,83783763918
175932,2529645796;193008,45691824117;189298,32579411336
159696,0749221348;193008,45691824117;188909,85215344589
173110,57447770837;193008,45691824117;188957,1114148878
176906,8699133442;193008,45691824117;189697,29754972394
176852,36998577515;193008,45691824117;189581,53851396288
179485,14268716704;193439,81791608687;189966,2159675954
174655,0464150065;193439,81791608687;189799,7119417144
169789,15727042977;193439,81791608687;189125,74873958426
169789,15727042977;193439,81791608687;189131,61873275577
167737,75649326792;193439,81791608687;190381,37327292972
171167,88287813176;193943,65857516805;190433,89744616044
179187,08152939437;194540,22587856388;191114,4302384052
180278,45131104725;194540,22587856388;191542,34966722614
177340,49277494708;194540,22587856388;190720,4783541274
170839,69403408648;194540,22587856388;188086,01933153044
157054,18979840074;194540,22587856388;185726,0763384424
157054,18979840074;194540,22587856388;183254,20866376956
145650,51958240382;196723,85112356988;184277,71110072816
157054,18979840074;194540,22587856388;184020,34765134708
163607,11769103986;194623,78131311014;182730,12710637492
165208,53602395937;194623,78131311014;182510,7020454338
161993,55337964316;194623,78131311014;183547,7357122625
158743,4631058043;194623,78131311014;183434,90129881536
163897,33219464938;194623,78131311014;185967,830771024
164061,21474047855;194709,92708196532;185876,59032611738
165145,12473851527;194571,3522739252;187707,5420272195
165145,12473851527;194772,56634923405;185090,3611937492
158992,74581576584;194772,56634923405;180351,02424832605
152541,06028127833;194772,56634923405;174782,09200927123
150574,85569146596;194571,3522739252;177437,78517783855
158204,39822021013;194540,22587856388;180841,3139475738
162181,73469244526;194540,22587856388;182969,2148101416
158544,78456307782;194540,22587856388;181684,1461350574
160747,97843459816;193277,00129381352;177796,11317954946
154060,50550110027;191944,1297192744;169955,1448864265
150330,13601029842;190795,83076813974;166207,19794793968
151645,49168549431;189319,556219136;163004,65567989775
146629,82582572277;189319,556219136;164877,10480223518
147993,51635105733;189319,556219136;163501,21268563834
140706,66334203532;186282,40263303154;162116,13583587442
136597,52051869125;186712,72701169807;164006,2924375583
140533,11540340638;186282,40263303154;163787,47589571806
147823,96284216986;186282,40263303154;163493,11195168874
144344,68763592077;186282,40263303154;161569,11844387115
139385,62375535507;185469,3216603756;163544,69329100958
144344,68763592077;185222,32023488678;167183,59129660955
149976,26690320065;187793,66702999762;167201,7461679167
150459,93913933734;185222,32023488678;168546,29837022457
146018,93996476277;185222,32023488678;167480,97763811378
143523,74857983945;185222,32023488678;168104,7119212221
115298,9275657954;185641,80132226375;169193,13190584985
131215,14313230934;185641,80132226375;170131,32819977737
128023,03400481789;186671,44619693328;169968,73046919834
136343,20927707604;186671,44619693328;174332,15467267446
136143,75740739403;186671,44619693328;174140,32990575352
133018,92231599923;186802,21869955384;173468,38263868677
136158,6516040428;186775,8269030316;173004,94789018852
134213,4523099085;188421,15382824617;178194,66624611843
136158,6516040428;188356,20862094132;182193,7938102856
131339,86162797338;188803,28268194798;180122,30915384123
136158,6516040428;189921,67148324457;177606,17292929703
126049,99386593135;189921,67148324457;171737,26473889657
118470,2748174956;189921,67148324457;162971,87927497734
122753,07664703805;191021,55300270353;165578,29749012523
134085,42400063993;189570,4335771888;166936,61747012165
135453,543414249;189548,37101949105;165482,33093330654
135453,543414249;188688,74521799618;166786,72357544306
128631,27280468441;190348,467438297;171178,96080231117
128830,54926268678;190700,48648472282;172214,8335075072
147339,19718088282;190700,48648472282;164412,2517280912
136686,75733129893;190700,48648472282;156517,83798452545
134007,08985548615;190700,48648472282;156051,88006368195
130668,47856661692;190700,48648472282;158028,82756899713
124168,31686179838;189259,93171313277;153735,2206616982
126582,03340635248;189259,93171313277;158712,63146516698
128573,34772149281;189259,93171313277;162748,14029041686
128270,41100114913;189259,93171313277;155377,2542332017
113033,8496535694;189440,90612017625;139211,2065189585
109731,8538667337;189440,90612017625;135397,5118329052
113033,8496535694;189440,90612017625;151021,50552320684
114177,06581563267;191183,5157234058;164645,29921448816
151229,63934998668;191183,5157234058;170210,0344365602
153293,63117357803;191183,5157234058;171146,39017992577
159053,11407616586;188945,1003245999;168993,89487116464
148532,13524797503;188945,1003245999;162810,07565157817
144258,62970868096;188945,1003245999;164756,66765058396
145538,52871977133;188945,1003245999;167004,13266146148
153243,140922951;188945,1003245999;168169,6633037774
156055,35195960716;188945,1003245999;169910,9105884486
151920,43125123082;188945,1003245999;169497,25008126762
151733,4727704359;186888,79085976657;165516,6023596134
152992,0991871053;186630,83700643977;165581,38352056337
140313,7346425987;188178,16483180196;165451,5410520207
150667,58447542926;189769,48827602091;164215,43436984532
143322,48509084096;189475,88858873455;160192,48813092583
143313,78564505247;190270,93124611868;160085,84055078213
147142,38791787383;187137,9049809966;166079,63448191492
152853,4953606104;185050,33986014704;165463,59401215045
148852,72690023173;183830,6460125711;157383,9192259942
144118,6810084673;183830,6460125711;157560,86156049676
146230,40202309375;179279,57148050558;155776,8149476453
130651,08183338866;172451,40887719177;146475,32039622727
109517,75293160407;176436,4517338298;148600,1360850309
126436,25669419082;179362,21465200387;156525,94912426136
135848,6991702568;179508,9633466818;165057,77011630667
152105,92350921218;182453,6587539737;166094,06250248075
147290,69542219525;183700,3267892545;162555,38892156203
146116,80463613928;188866,1900101889;164964,29689192463
155914,14436350975;184845,14325841132;169482,11602538882
160539,90742135246;184683,41904630873;169166,1509228136
152555,6561349727;184683,41904630873;169654,78764086496
160206,95447569713;186553,81507127197;171210,75167842474
150699,76592865895;186308,0907987257;167222,6180680492
142078,29489950457;185287,08923848864;163376,35336192194
136529,47137696718;182821,0541492163;156652,28265171347
129364,47813154417;182821,0541492163;145496,63127834848
127780,09197147295;186863,1435411868;144243,33870306946
119650,51093938405;182371,06286437972;140424,7780304408
127780,09197147295;185171,55112549587;147449,58711798236
123168,77906020067;185171,55112549587;149609,35326710923
138093,20658247473;187326,4794039056;161999,20639271993
147559,75806891854;183214,80226775247;166114,24617257743
158361,77414613776;181506,61665926423;167499,9193383937
151787,15498824304;186359,35347247656;165862,45129295797
137862,07347909524;184373,74526565868;166580,20859478897
150109,45719005674;184836,4940696402;168472,61618638036
149111,1001747863;184780,22855884832;165803,3450170068
144441,78752107458;187715,74770414465;163925,11238443188
140971,07387839677;188245,06715000625;163085,39943686695
136230,42860567782;187573,99180971802;162686,00960092782
138047,44139720482;186376,282770241;165912,7242312654
147465,95458559002;188231,94815561673;169237,6575860622
144365,415430073;188231,94815561673;166069,8236392047
138000,3130632227;188660,54492775194;165015,76661428006
146613,29560176824;188151,6524064582;167838,59120867087
137699,20219617692;190802,4035899983;161956,79039428948
127780,71754580195;190802,4035899983;161799,94428064488
144398,01421636977;190839,7259996389;164906,07519611262
148922,84156904308;190802,4035899983;165597,2917460815
143216,93686850203;188815,06156346019;157996,77444437664
134493,88536896114;188714,80585433968;158337,17243234863
138366,27015888257;187816,2522622884;163580,45687832992
148930,33772811794;187485,10752651538;161834,10499834252
140460,36297123792;187485,10752651538;160650,5352038151
142975,439830738;188051,8214716523;166428,2176013466
154565,3412634976;188051,8214716523;168758,96738670292
138820,61654261814;184922,1761201016;165404,38751359246
153782,75959126302;186314,23809719656;162409,0359464485
144676,687919394;188859,92510160513;161100,58761182576
130759,18876051431;188859,92510160513;155010,61615086076
126387,03511788262;188859,92510160513;160264,740885942
130759,18876051431;188859,92510160513;167337,1038470218
139247,42303044623;185998,0102500295;161690,86769837106
127152,9667188031;184344,17835802547;157998,4108364025
133255,30346725933;184344,17835802547;159807,86943933874
141705,04623598343;184344,17835802547;161655,46698794424
148483,37148229737;183993,26478261047;163674,40461359938
153658,90711819055;183993,26478261047;167652,29968543054
151928,516242068;188616,73261227913;168748,47531375944
155169,67410569877;189218,160203433;170686,27329524118
149614,52819927747;187712,25949730765;166205,38074114767
139279,02465448267;187712,25949730765;163974,5554721071
145117,10012347536;190783,67016382288;160221,47263409058
141823,3526729482;187704,05514840354;156557,2829784128
126034,48622444956;189141,52363936347;154994,55498119048
139763,77858055034;189141,52363936347;156722,6195548685
146804,87719134474;189141,52363936347;156922,18806169392
142926,7657045013;186961,97424753528;160415,86813105625
149678,9292695166;186961,97424753528;162682,96367569655
144166,17373988326;184264,02291954771;154957,50113477014
136424,7615266534;184264,02291954771;150988,86866001692
136222,0657959194;182278,31060611492;151514,59310394098
134767,2795489033;181269,97776783578;152283,18596648698
142682,4850947004;178776,1968523546;151358,16428082951
139141,83750316445;180987,33198770153;148314,9316656109
137487,59593518547;176059,6620766649;148115,39856469346
139676,40017733423;168789,49444817856;148216,46775139062
142173,91387674684;167797,00962877664;148084,10212169352
140852,24423901926;166882,911197135;153618,37123692618
129729,92943255493;166882,911197135;150210,69132585468
111961,9148819542;175733,07715441263;146237,40347142654
128126,9345795179;175733,07715441263;155349,82387111758
146352,9113279361;178097,58340669342;161566,4186974264
141162,80391886027;177451,2966422316;161170,57011284734
130942,5398811244;175656,7504202425;158380,54134222632
131478,65368388483;175656,7504202425;157938,4234568161
134022,992788369;177778,8627200913;159138,98518967736
138654,70024073005;177778,8627200913;167536,03410334437
156279,54223402683;181185,42021501157;172916,80318706532
161462,85151129152;184064,650965926;170483,34828779704
145557,77345719005;183671,70196522592;159610,37232596363
138238,6599910777;183671,70196522592;151658,3374264362
126039,64226490358;179273,74019464094;152902,64214900465
139408,16019695604;181667,94698486486;155380,9969829246
143441,5222469031;180221,8520344256;156355,3313676822
143014,70549078274;180221,8520344256;163480,2525383568
156212,7561274264;180221,8520344256;164433,45225251964
150843,97124096227;180221,8520344256;159703,31408950395
144083,49192798292;180221,8520344256;156102,5572572921
134756,7869234028;182396,36396236083;154669,04014330707
121889,90359019555;185347,22888817044;160263,049701578
146167,2765321157;185347,22888817044;161205,90486950846
138018,94322502892;185347,22888817044;154988,69038010613
132455,36505157896;185034,47322046998;154671,53514932704
137546,46754483823;185034,47322046998;157223,44011262836
128129,96644903929;185623,36482559814;164156,2147553954
146578,33602106172;185623,36482559814;170634,75085449274
134337,77831297126;188433,92765127798;162180,9909015374
