min;max;avg
50637,746075991716;128825,03351653696;95442,87469030841
76496,3804118305;140342,26630795427;106030,94310008713
89718,09235405643;132944,74177244634;111341,86749921818
75564,62871342554;141227,069703897;118909,66525016571
96325,34551921306;150100,23497225725;126736,86349651564
113579,68268324525;150205,82980403924;133077,5747989181
100324,40446922259;151099,7696232307;135155,41259452712
110985,5642146118;160071,7935122911;140930,63191076703
119929,76629011403;166168,91304126207;145277,54876431907
133462,44142719998;162934,02053876896;150075,15554129926
120745,70432432677;166117,53041064242;154074,84155042426
137572,92466642056;170682,459301499;157501,24949010552
141109,3500236892;173043,65253890865;160801,94577324102
150132,7606562305;178291,57936623157;163794,72331596576
142964,30622548936;180180,4184735851;166949,3289476448
150146,5145862684;180679,8146084169;168993,22906895538
158262,61664050267;182471,49008461967;171856,27536198535
151047,70356321626;181735,46256014984;172781,9574159746
153320,3915089374;184903,25864340263;175514,2174152439
162301,81200309092;187407,23951129496;177007,31164410125
167588,2033011425;187223,91616545056;179601,46266510745
172377,53038824425;189322,09370638983;181648,14684480493
167174,76923772733;189322,09370638983;183236,3827865337
170081,9267700425;189539,34307322808;185230,18829037834
167458,13260224805;191975,86483541768;186102,96914416636
179053,19175722665;191975,86483541768;187402,70754505473
176940,1261894988;194399,82614649856;188068,1948265311
179811,74023007567;196304,72127585558;189612,4618369554
175017,4028309717;195227,44826847964;190164,51340950638
181150,73513530026;196043,96921563582;191270,9761496842
180432,64277688623;196043,96921563582;192013,19433582752
182689,59453890816;197504,70705699248;192867,2016555944
179012,48289155052;198484,72345629623;192884,7723400208
168038,22278648475;198887,21763737814;193519,970495455
177623,50048216857;199084,9857203245;195466,75128272024
187910,64999462906;200469,60200722306;196397,63468752443
180934,49325386243;201341,78119221964;195892,94054914176
181170,9983318302;201341,78119221964;196391,11420514502
180564,60259106717;202168,11616421046;197721,219516364
185527,84110293706;202168,11616421046;198859,71025907883
183908,2538427621;202192,51954657317;198528,81260807475
183908,2538427621;202538,615518314;198377,3951853893
189987,65449866044;202538,615518314;198415,43870300698
184837,96910398063;202676,33564050723;198856,02061595552
184695,04002962876;203345,44964751316;199131,824781751
182400,19759843178;204190,1340839492;200138,72215734134
191700,74881153603;204075,83363054847;199891,79805237605
178785,29698096192;204075,83363054847;199901,25622323272
184180,41312828352;204478,40388769814;200299,28485993572
182289,10321913674;204478,40388769814;200404,81003845378
181243,62372838077;204478,40388769814;200887,21100922488
191649,75939291832;204745,38059279585;201302,03341321435
190891,7418234799;204980,73816822414;201617,38966479205
192245,32075858652;205037,22505873878;202126,83091307367
189229,76544377327;205037,22505873878;201577,09977759406
188859,8814156456;205037,22505873878;201308,73847703674
189992,15822133416;205027,38805509591;201246,52535137945
189616,07586914612;205027,38805509591;199943,76030241163
184810,898608275;205228,94941706938;198453,97872297865
184810,898608275;205228,94941706938;199464,91093234415
179031,18623249896;205566,64089774352;200668,17935540125
179114,71397135832;205566,64089774352;201812,50813654016
183209,82720314455;206079,01881456716;202805,14470606524
187557,5462461994;206079,01881456716;202302,56222525227
187557,5462461994;206096,59415324248;202762,4045522351
183463,61064017558;206096,59415324248;203375,6070932613
183463,61064017558;207145,37083949742;203221,32704516087
193958,13914813;207970,55081138737;203748,802096722
193958,13914813;207970,55081138737;203856,85097568363
191698,94428551913;207970,55081138737;203743,79510706328
189478,97517903667;208051,06645304905;204419,06194639017
197901,2278905704;208441,1975611063;205272,55255074223
190744,74797581736;209202,87400383898;205442,47729549572
190744,74797581736;209202,87400383898;205112,85978411927
184837,1320309526;209202,87400383898;204204,5556432034
187902,72239363025;209202,87400383898;205315,96128074004
184509,37086573296;209202,87400383898;205847,12687704084
184509,37086573296;210091,94002686228;205007,28715301448
193346,9577500117;210091,94002686228;205402,1734412664
187813,45685023407;210097,86196513177;205127,6736420103
192316,13797272474;210138,09972050498;205905,680119892
191167,8537414801;210138,09972050498;206380,5889014691
192998,3296887679;210231,5596686413;206114,5991589448
193044,85157148435;211633,81780112075;206993,78595507587
194882,1503569475;211633,81780112075;207116,54054734626
197270,76273451844;211734,41453186728;207733,17231542547
194406,44891528337;212261,29863994746;208081,8415849362
184726,97578225908;212580,62425577114;205835,3537522879
184726,97578225908;212580,62425577114;204738,91976662842
184726,97578225908;212580,62425577114;205547,90767950437
180400,24094639404;212580,62425577114;207217,688316682
184587,1724017814;212307,60592157085;209173,10342343923
184587,1724017814;213369,3962849242;209125,08693373852
187651,37315719525;212865,5147387504;208504,06680989082
184369,59178326913;212966,59059282433;207418,13848589666
189654,482955431;213570,6711278189;209573,31578417934
189654,482955431;213486,4120550929;208866,96480165186
189587,49054024523;213486,4120550929;209609,9563131404
195325,82597153084;213486,4120550929;209624,8410864928
184646,77977949963;213486,4120550929;208579,52760240887
195504,12233343066;213561,9780235343;209052,8107860115
195415,2623467757;213881,15612354325;209365,06118896068
191250,43072077294;213486,4120550929;209474,14908838578
191250,43072077294;213881,15612354325;210245,19131801813
194380,1820406558;213881,15612354325;210998,77400763528
191954,48157594597;213881,15612354325;211010,67536738951
