min;max;avg
57582,45358052038;123950,06123780066;95254,64310896643
79462,51312118775;123950,06123780066;104926,23928175945
79296,82144178616;129516,28305475472;108806,9790846768
72543,79304581991;138168,52546401648;113352,66058903682
87294,2823005647;139499,21006013046;119558,09953382623
89584,1074352636;148402,29332760035;125246,36260816384
102394,0173491603;152238,61017516576;130122,77692277038
113572,91031966501;153294,91196790116;133003,57504785404
106108,1919856297;153294,91196790116;137000,7595675827
111763,88689272356;154590,50100519034;143361,81838367163
126127,4501312327;154590,50100519034;145698,42636882115
127826,45293964352;160278,4524278667;147343,56349017308
118620,30948854893;160678,74252596637;146952,30113738042
118818,293954072;164094,64879119126;147870,07301167535
128181,92407148561;165864,80693479304;151784,32565935195
135707,9026975704;168721,14021365962;154135,0388140501
129371,10428387398;169320,43169980776;153166,07023435974
134962,700349185;169934,78674972308;157476,0027182929
133516,66934467366;172968,75151587086;159497,26424214116
145382,5714432475;173300,61753870337;162459,80004812346
148354,1292096724;175569,78734764142;164994,94374811117
154445,69832320945;176927,49144692707;167928,68028839037
153443,8819608154;178555,5760276188;168914,17184835632
153443,8819608154;182313,81356904248;171140,73739786563
155529,49674035667;182313,81356904248;173134,97250766322
160712,34590799725;184684,2803143923;175838,43035695198
160712,34590799725;185403,55415721855;176834,97083240384
168408,61997169734;186899,36987321672;179619,67449033837
173366,31593541335;186899,36987321672;181216,4569798604
172164,8078593983;187153,81036025056;181338,8642439917
163522,96420974066;188298,97388095778;180982,54285484503
161809,21611471527;190357,78773002684;180707,8917264608
157459,83044718954;190357,78773002684;181178,085498391
156662,18127933174;190357,78773002684;182528,8461158876
161779,05298095397;190820,00682941446;185503,321094403
174761,61333758011;190820,00682941446;186178,527772961
175244,1904838659;191292,15868419927;187131,67897389055
165784,6200405897;195158,38545675413;185804,22149935752
164716,1464306533;192829,2234062666;183855,87194900663
164515,7634697447;196654,4271321384;184227,24324299925
164817,99676606897;195644,84129423372;185731,20088704556
170102,93786416185;195574,41535463283;187372,8897436275
172457,85889857676;195722,99713941128;190935,28214098615
180977,7509927486;198436,35173467835;192476,55224441187
178989,3708268404;199226,3926073879;192031,60479945273
170651,81381926322;199959,6528577684;192331,56595715432
177517,21141110308;201715,22801544814;192708,13292407498
171116,03082661214;201715,22801544814;192074,51676937408
173124,92521447066;201715,22801544814;193991,90827944837
169134,3175724887;201715,22801544814;195993,2217721201
181257,29470302322;201715,22801544814;195815,60033925358
185168,77042458704;201715,22801544814;195618,28599592365
184323,69809299754;202017,56290625597;195103,16578863643
180739,822392465;202150,27532005525;196585,17259854224
180577,8393265279;202951,9910877687;199584,38528501507
192322,80525848485;202965,35576487106;200193,607112394
182633,70377341844;203496,85632781035;198501,44667374768
182877,9440288751;203496,85632781035;196684,43656237662
179194,01743336345;203460,88417674703;195401,601225055
178669,79956615006;203640,06991645595;194084,99006119295
178669,79956615006;203662,20696529042;196507,05714284495
179953,24445387485;203602,04996068578;197815,88405565207
179953,24445387485;203841,39575849153;197234,74561328243
184255,9995110284;203863,52974021537;196816,82880601767
178719,18731910211;204530,32184932232;197357,37861805886
185022,2073395828;204731,65452117316;197861,36933109976
182105,3599129666;205190,93812224135;198823,2954632181
181488,07666016632;205257,63005112798;199529,70707049075
183035,53129409964;205481,15992122487;199658,19523165317
178948,94232687412;205481,15992122487;196914,47054044993
