min;max;avg
50941,99448133973;124237,01954931958;94466,05305078872
57837,412788825284;133547,3672036963;108163,8049069408
91921,7866815337;145145,9371121547;117852,12862990683
82940,96355839857;145245,52098062396;124675,63010331038
104015,0589539352;153737,59538974633;130715,23280382477
116636,67819157461;153737,59538974633;137588,58365002897
125316,25648781707;155893,4149072956;143428,08408498927
127910,34517497444;167389,4843089778;147738,30702890884
126555,4023408705;168551,80607080137;152307,68834394054
146035,80074590544;169306,9661387803;156668,63489343307
135925,6892334833;169702,02974137862;158597,61291814686
145774,85193969205;171833,15255984841;161618,80292042068
148713,67354403838;176972,56598027676;164924,97164637706
155597,64609965525;180701,23012614506;168217,23974609972
154184,56956377352;181376,6549029689;170741,7799237659
161800,84798518196;181376,6549029689;173430,24795242283
165702,96155336866;181742,30246274054;176380,91270629302
167225,99724775585;183834,75259441015;178120,61174302563
172322,54736458918;184814,59584378716;179857,82866747899
172034,3111061835;190204,56115165027;180641,47048472427
173277,8709401234;193725,55156685557;182491,88355902222
167738,5439670212;192078,25673223796;183829,25637616232
174403,178097078;196622,5045806429;185105,13945141676
179417,90641976378;197571,11523664978;187650,79988083418
178712,3770000551;196728,3257440814;189357,63423153362
179603,1858933252;197394,82994481106;191818,37436843794
184121,58261505494;198491,43678312987;193914,26844839499
179468,53607930138;198491,43678312987;194946,92051799883
187555,44915808935;199515,755938978;196128,75761649315
187370,82580412272;199515,755938978;196415,0925575002
185419,00678204373;201354,7924726545;197080,681670777
184059,30963127996;201867,8255082039;197780,39546399043
188702,24200657033;201867,8255082039;198573,45771378948
191573,2291412176;202454,2149725063;199375,8391882171
188234,7555818117;203016,63273946912;200189,23255001125
189937,09507130086;203452,338269318;200709,71942417414
191656,0126782122;203966,79350038196;201167,1686379888
188503,4558640875;205754,2235226887;201480,78877447787
188324,62991977803;205754,2235226887;202222,79533708052
190348,9025631157;206358,19465820165;203248,073048201
191902,8538964254;206585,87307208584;204240,3389439955
193734,22321735174;206893,85514732712;204575,07288545565
196773,83068807633;207712,36921098563;205291,3914004141
195146,38537493465;207369,34604509498;205625,53043346285
194081,4798733138;207814,07379030305;205356,49590561553
190846,13151946923;208316,43292468577;205376,22511477023
