min;max;avg
64950,36100478034;128960,3796765286;98035,39874618179
69793,66653125122;128375,96783524787;108330,51137694491
90638,41863875979;135612,38329281885;117558,55271259797
92747,34618230892;140354,38416020697;123131,39106166463
107246,9489930351;146491,90920926345;129706,33962744602
120645,83031965702;151972,97051340537;135503,30142786802
111590,5871793796;156326,67630468486;140452,57618364948
130797,38004011984;156062,52006402638;145626,34200391275
117022,97889880679;159819,8954356673;147629,22398409803
133308,00803188622;161321,00455873733;150681,37320714284
136593,26371766868;164540,63465929442;153566,99928355607
145355,71943515187;166821,88331747305;157468,22979488896
151972,63382246808;166821,88331747305;159450,52788256292
147626,74195576034;170963,24143061665;162008,55534147288
151770,499252487;173205,64122877084;163934,23052692632
154509,19386886648;177897,22869631468;166778,15615972952
160225,7733100333;180118,16017446568;169543,73403146022
161398,79916348401;181146,9715892643;171980,54907784518
164091,61661153915;184302,54137537815;174808,57708526964
164481,84113888274;184801,9688145117;177748,49203376457
170338,54383658228;186636,52827208242;180123,53464145734
170707,91768971636;188366,6328745456;182165,15207338316
176920,38378183814;189186,02580755507;183692,4571873865
178124,8363224626;189186,02580755507;184420,38190373342
180186,31658261467;190762,8747076872;185496,04061524052
180281,67905817786;190266,0659543186;186332,15359241862
180637,31246157686;191787,54067247632;187341,754368719
182459,9884174388;193659,546998389;188511,56364859152
182942,42622038978;194184,91806766385;189525,02343878418
185360,03239395365;194184,91806766385;190574,20859036272
180915,49274087555;194188,77015548522;191159,2052353764
184447,62956591597;194188,77015548522;190972,5318847897
184783,74271678636;194398,5305119552;191239,57263665856
183400,21534530874;195054,39453350025;191531,03846721564
182866,94757719262;194480,77013256907;190783,0111929762
169983,1367706019;195762,15493729385;190945,41045111153
182866,94757719262;195762,15493729385;191761,35848230973
180490,83883837855;195179,16139290296;192166,0954282867
184931,88262234925;195179,16139290296;192537,2799537083
184717,34231272084;196937,50028788013;192855,21124636818
187033,55713364936;197439,2475096523;193389,75700111536
187418,02914120367;197439,2475096523;193371,2173718893
184224,6894809992;197816,0810821657;194161,12031945598
184319,6644484108;198959,0413115767;194640,3206528017
186105,33467162895;198666,58056082908;195872,9175777652
190678,8277346749;198666,58056082908;196471,43178260443
188349,57552935637;199303,90619345728;196256,79186329388
188647,9135418731;199303,90619345728;196656,46816251735
192305,7436537868;199979,05927382575;196977,49948116767
188661,80896524788;200579,13484139758;197386,1496874607
189890,812733143;200683,2699876744;198445,4913772428
191139,2436573893;200704,9386977815;198612,78458378545
194387,4399747525;200942,5428374493;199004,91172499114
194087,065785799;200942,5428374493;198923,21831061586
190547,89484243927;201050,26305995553;198945,8866467502
192474,70400824468;201503,3007317374;199207,290610486
191080,7540555988;201503,3007317374;198558,5836169301
191590,31905036463;201546,2145616804;198492,0862214568
192196,51638488699;201782,4729897998;198917,23074323576
191301,04236815847;201983,6620912031;199386,28479974568
193093,4490194529;202386,07297134574;200061,13106455083
191333,21467949284;203252,19051980975;200505,3402998509
192381,91859993563;202668,76277136884;200312,28939457916
194001,72822979031;202689,44904702003;199842,47118376184
192404,33037136972;203040,4953472634;198933,66944274123
190108,70289864077;203259,9361996574;198790,53619357967
192549,5381025809;203802,53603223767;199348,51258357672
189840,1603933732;203802,53603223767;199172,69620342713
188649,17829969042;203802,53603223767;198706,23685138125
189298,53348905742;203802,53603223767;199335,30828302598
187890,7593912684;204406,23012854275;200740,5771174418
186539,2061091627;204406,23012854275;200260,7559495707
186438,6936742653;204003,78924438794;201293,19717821263
185175,95798408135;204104,394425526;202020,95512988002
194652,91299553373;204204,9769560657;201956,15812052126
197357,47259822808;204406,19738743443;202625,912146824
195055,78274539937;204406,23012854275;202634,3244184884
191486,73554535888;204406,23012854275;202015,09030862708
192553,3229008834;204406,23012854275;201662,28311649046
191682,8940210337;204406,23012854275;201896,20184794892
192740,11847686884;204406,23012854275;202303,2977939116
194857,05887130823;204406,23012854275;202439,33822560098
195122,38770990382;204489,46150530293;202287,75894175895
190751,1397901699;204489,46150530293;201879,41378496087
191182,84732684254;204704,48757208663;201544,95790499746
189095,94532055876;204905,7079955123;200210,22850325002
187633,228335814;204905,7079955123;199978,5831459722
190744,39393786393;204905,7079955123;199756,38855293285
186512,69439571566;204704,48757208663;199692,5753496003
188759,9214978624;204704,48757208663;200250,60624985647
190133,54536280254;204805,13557415962;200845,08657385517
187714,4483536028;204988,96159329143;200019,01886246065
188965,2666590248;204988,96159329143;200224,4916904175
191535,36707948186;204988,96159329143;200892,73495468972
190371,16177273513;204988,96159329143;201728,63083451902
187988,35892770533;204988,9288521831;200925,3528667695
190371,16177273513;205190,1785072015;202465,4874389154
190241,19442359474;205190,1785072015;203359,40850733212
193772,28691033862;205596,97787589175;202847,9122136561
194706,93810476252;205596,97787589175;202636,70035805166
194606,3799234251;205190,21124778307;202641,42137055236
190863,08534255676;205190,21124778307;202835,77175113547
196973,7422590583;205293,33267039544;203595,25074955
196973,7422590583;205494,579658392;203560,5890916608
192765,2233306879;205494,579658392;202953,57147850707
191769,18550372112;205494,61239871022;202057,0183176426
186247,9894530912;205982,04786460748;201033,53440125074
187689,117143189;205780,83092259598;200467,55065089188
187958,3549046414;205680,2173964263;199516,97917166242
190235,8897235999;205680,2173964263;201684,40397439178
191939,89053328327;206384,5471700296;203096,50004758223
194331,0423522186;206384,5471700296;202718,63295325733
195895,37889660546;206384,5471700296;203596,34833646615
194628,48217215337;206384,5471700296;203159,30973565445
193660,39340131596;206384,5471700296;202890,6239556228
193132,7719369856;206787,0136538603;203022,1052477509
194002,57869694335;206787,0136538603;204181,97903002342
196623,64410258195;206787,0136538603;203843,94608094305
194148,87455322908;206787,0136538603;203781,22064379606
189377,7142275352;206787,0136538603;203567,36499240715
186076,0548477645;206787,0136538603;204050,4595114084
196332,017813146;206787,0136538603;204803,94383568436
192402,110328727;206787,0136538603;203884,5284545094
192301,56558173953;206787,0136538603;204041,68556712192
182953,35559199512;206787,0136538603;203747,71539871636
195995,95827210875;206787,0136538603;204706,82695178702
193050,71949818503;206787,0136538603;204669,33070607288
195396,26035620866;206787,0136538603;204548,72636473353
196867,83051433123;206787,0136538603;204949,99457898075
192460,73289190757;206787,0136538603;204735,8408993667
193422,3749058681;206787,0136538603;204657,6257321302
191995,39052795543;206787,0136538603;203960,83573265828
191924,3622651989;206787,0136538603;203322,20767762116
195995,95827210875;206787,0136538603;203751,3876992167
195995,95827210875;206787,0136538603;204203,97524694432
193320,6255011547;206787,0136538603;203483,4791568933
195351,37254961758;206787,0136538603;204105,27794049113
189530,80075462576;206787,0136538603;202701,77499522443
190636,09324634518;206787,0136538603;203317,37909344825
196978,64354117872;206787,0136538603;204192,30067831505
195351,37254961758;206787,0136538603;204015,9747794947
195995,95827210875;206787,0463936518;204612,14723789477
194299,13441400675;206787,0463936518;205017,83163076767
195995,95827210875;206787,0463936518;204330,3287317799
190732,8877785884;206787,0463936518;204107,16758186012
196398,96269363555;206787,0463936518;203108,19489727903
196398,96269363555;206787,0463936518;202514,23324636117
187294,11912341887;206787,0463936518;201668,9492538547
186173,46830743464;206787,0463936518;200118,51514563386
191089,66643660853;206787,0463936518;201563,33279451545
188628,4940690667;206787,0463936518;202486,05855059598
191963,09249366837;206787,0463936518;203744,7113128599
190248,96029448873;206787,0463936518;203877,23029148436
190248,96029448873;206787,0463936518;204265,58479151476
193428,79278620752;206787,0463936518;204266,1370946383
186940,12945443165;206787,0463936518;203992,02549469762
195163,49354741123;206787,0463936518;203968,97977861323
193516,08232703147;206787,0463936518;203787,84944848192
192186,20996442263;206787,0463936518;204684,76500377228
191228,8987318111;206787,0463936518;204734,1053021675
194325,4791465489;206787,0463936518;203998,5798581128
192287,42556135025;206787,0463936518;203128,02776499122
191258,65294881686;206787,0463936518;203230,60766946402
191791,227451944;206787,0463936518;202960,40250951468
192578,12780230737;206787,0463936518;203129,47958241327
196094,0863310797;207087,1811419631;204471,43053091294
193232,2850619589;206787,0463936518;203546,85225565196
193042,62397736224;206787,0463936518;203455,75338950337
193042,62397736224;206787,0463936518;203627,9527468599
192079,3163510526;206787,0463936518;204345,27123862627
192744,6608811336;206787,0463936518;203545,57137448233
192876,5410440613;206787,0463936518;203368,66814492576
191791,227451944;206787,0463936518;203204,83708631963
190085,50726511847;206787,0463936518;202239,6222120618
189840,592186405;206787,0463936518;202673,3533798108
193233,30106291082;206787,0463936518;202815,635297587
190321,92639681557;206787,0463936518;203736,71608316508
190321,92639681557;206787,0463936518;203298,21185001358
194976,18875654016;206787,0463936518;204029,57580002528
191111,59785191092;206787,0463936518;203886,37895996455
194048,3145594628;206787,0463936518;204627,8928060178
195351,37254961758;206787,0463936518;204409,8133620572
194731,9501898648;206787,0463936518;204555,08498375502
193042,62397736224;206787,0463936518;204497,10140173847
193042,62397736224;206787,0463936518;204320,78279596436
195396,26035620866;206787,0463936518;203853,77549176067
191990,7046363784;206787,0463936518;203661,57856409065
186820,01691230148;206787,0463936518;204060,44188294862
195019,6384805796;206787,0463936518;204305,09906712428
194709,34038778715;206787,0463936518;204394,32004972882
192788,73865350155;206787,0463936518;204106,67323593944
193042,62397736224;206787,0463936518;204201,8956304633
194653,51164784952;206787,0463936518;204499,74406761015
193042,62397736224;206787,0463936518;204990,60520630103
196398,96269363555;206787,0463936518;204676,6341922883
195535,81417111703;206787,0463936518;204675,7766345121
191791,227451944;206787,0463936518;203998,4786521033
195334,70849129694;206787,0463936518;204210,81488863975
193625,10737449455;206787,0463936518;204089,01561753053
192821,58184770233;206787,0463936518;203903,5523678638
196057,99749852752;206787,0463936518;204190,01383483174
193042,62397736224;206787,0463936518;203723,6970459159
193042,62397736224;206787,0463936518;204669,94044378493
196366,71026035398;206787,0463936518;204472,56536765984
188742,72742878785;206787,0463936518;204276,95894619034
181991,0329247199;206787,0463936518;204450,48116154334
181991,0329247199;206787,0463936518;205248,70737686698
193542,0285847486;206787,07913238992;205337,30653248713
196311,5533053803;206787,07913238992;205062,02542344187
193847,20464938827;206787,07913238992;204318,4177264666
194048,3145594628;206787,07913238992;205417,21456609803
194048,3145594628;206787,07913238992;205089,46945787553
191228,8987318111;206787,07913238992;204972,89772142412
191794,50469568308;206787,07913238992;203364,06550620816
193847,20464938827;206787,07913238992;203632,91876588034
190827,69885169956;206787,07913238992;203789,54299808329
190579,15454677402;206787,07913238992;203351,1917002605
186557,29867069732;206787,07913238992;203542,52556986897
180793,55691688298;206787,07913238992;203734,46118945198
193378,18957639532;206787,07913238992;204495,59215206016
193847,20464938827;206787,07913238992;204625,80660442452
193847,20464938827;206787,07913238992;203807,46592745106
190961,0343528299;206787,07913238992;203768,98655968727
193847,20464938827;206787,07913238992;204743,9171810167
194048,3145594628;206787,07913238992;204601,73715572298
193847,20464938827;206787,07913238992;204937,21373195373
193847,20464938827;206787,07913238992;204521,1789816881
189147,27653910356;206787,07913238992;203377,83534903443
193042,65671610035;206787,07913238992;204255,10091933765
190759,98995164307;206787,07913238992;203750,75605634545
190759,98995164307;206787,07913238992;204756,47587131953
191791,227451944;206787,07913238992;204817,92339531594
196366,74299909206;206787,07913238992;204391,40338776202
193710,9789885066;206787,07913238992;204020,2745296557
189048,06401351787;206787,07913238992;203542,7668991419
187145,89010164564;206787,07913238992;203768,9179510154
193803,22062059492;206787,07913238992;204641,59373006315
188264,14996010272;206787,07913238992;203811,52336679256
191791,227451944;206787,07913238992;204157,8326304099
193255,74938724565;206787,07913238992;204119,8526091121
192964,3591145761;206787,07913238992;204523,40777738654
193378,18957639532;206787,07913238992;204444,26716154788
192160,0109742455;206787,07913238992;203773,55625881546
193312,5057023363;206787,07913238992;203853,69306242408
193572,0628879136;206787,07913238992;204090,54599460046
193042,65671610035;207260,28868220194;204345,55780455362
193042,65671610035;207260,28868220194;204623,46113130197
191813,6981979733;207260,28868220194;204324,09809199895
194720,36370017525;207260,28868220194;204041,9438322151
193141,24022012774;207260,28868220194;203138,55810723468
190014,0560293665;207260,28868220194;202841,65599524975
193042,65671610035;207260,28868220194;202664,77516571735
193042,65671610035;207260,28868220194;202802,91709178922
192218,10838234308;207260,28868220194;204394,50017748537
193847,20464938827;207260,28868220194;203684,14271869382
194166,80667132037;207260,28868220194;204558,77350268696
195320,96750537306;207260,28868220194;204241,45599585588
195004,91556465917;207260,28868220194;203642,8940858919
189249,10165328524;207260,28868220194;202700,98697086368
188267,81556810602;207260,28868220194;203370,26705497902
190156,69300590403;207260,28868220194;203609,91740776328
190156,69300590403;207260,28868220194;203537,2273616651
187810,27584686043;207260,28868220194;203644,48174146906
185823,63826949106;207260,28868220194;204927,86104559002
194723,49310356734;207260,28868220194;205382,28759903484
196954,89727768349;207260,28868220194;205581,81820361913
193917,5913469033;207260,28868220194;204364,74683433067
193042,65671610035;207260,28868220194;203798,38546048765
193042,65671610035;207260,28868220194;203387,87725536036
185705,8224001104;207260,28868220194;202597,82379823222
188391,47751493868;207260,28868220194;202769,15531953875
189842,83816630254;207260,28868220194;201932,92967762568
180624,22938740434;207260,28868220194;201892,29582401388
185372,2582554311;207260,28868220194;203356,4461349414
193917,5913469033;207260,28868220194;203553,61269374323
194120,3779170129;207260,28868220194;203794,83989409407
193107,3802858746;207260,28868220194;204385,83845329878
191676,73845488927;207260,28868220194;204896,3086804438
193043,23679466482;207260,28868220194;204575,80161024
195320,96750537306;207260,28868220194;204405,88078078642
193891,22711332224;207260,28868220194;204460,20640505
193145,80888205234;207260,28868220194;204882,71569971964
193227,93960025944;207260,28868220194;204644,64930982745
193227,93960025944;207260,28868220194;204597,32109095537
193227,93960025944;207260,28868220194;205050,9683724016
191865,3724391578;207260,28868220194;204978,9628327236
194027,78534371854;207260,28868220194;204676,3096980258
193569,05138001405;207260,28868220194;205221,6012513034
195418,60493353888;207260,28868220194;204085,61835943186
195004,91556465917;207260,28868220194;203835,44948229767
193917,5913469033;207260,28868220194;204128,62328915272
193917,5913469033;207260,28868220194;203774,36252904971
193042,65671610035;207260,28868220194;204319,70369327825
190345,8041572682;207260,28868220194;204285,17545760114
192719,59875632543;207260,28868220194;204348,98105821016
194409,51230793062;207260,28868220194;204075,45093956473
193917,5913469033;207261,81981824985;204153,46032573725
194409,51230793062;207260,28868220194;204286,82913782226
195305,9879764615;207260,28868220194;204561,70229897607
194115,35627189846;207260,28868220194;204295,8680604812
188761,59138563508;207260,28868220194;202922,4924812536
195320,96750537306;207260,28868220194;203280,16841658612
194377,16395438038;207260,28868220194;203869,48226467147
194331,87559752012;207260,28868220194;204466,18895306342
198135,8461389795;207260,28868220194;205739,51327100166
193917,5913469033;207260,28868220194;205701,74417757668
194212,03428178089;207260,28868220194;205254,12309806922
196262,80313393753;207260,28868220194;205305,83798048142
196262,80313393753;207260,28868220194;205178,72943827297
195893,58012615726;207260,28868220194;205919,73409942247
193409,2205581659;207260,28868220194;205338,83898576986
192333,29585226608;207260,28868220194;204616,95071533148
192895,6428726943;207260,28868220194;204914,65255664245
192895,6428726943;207260,28868220194;203664,63464598672
191179,01788996256;207260,28868220194;204318,70796626245
194881,8028095119;207260,28868220194;204528,09094472975
195320,96750537306;207260,28868220194;204378,70377283494
195208,07686125475;207260,28868220194;204479,65533752722
193917,5913469033;207260,28868220194;203700,48993816515
188593,99219682888;207260,28868220194;204637,3879592311
189975,19738991943;207260,28868220194;204309,16840269748
193917,5913469033;207260,28868220194;204199,23185389594
189662,66840201558;207260,28868220194;204617,7562404193
189662,66840201558;207260,28868220194;204528,67175040153
193917,5913469033;207260,28868220194;204532,88515060657
193917,5913469033;207260,28868220194;204148,6078811869
193847,20464938827;207260,28868220194;204377,77773143668
193303,6215947924;207260,28868220194;204257,80934281222
195208,07686125475;207260,28868220194;205065,53467809825
196646,11975171044;207260,28868220194;205021,8563930294
193917,5913469033;207260,28868220194;204242,74087823785
193797,79782387742;207260,28868220194;204938,1901344314
195320,96750537306;207260,28868220194;205283,75689158172
196774,61493460363;207260,28868220194;205233,24723254662
193693,76532845217;207260,28868220194;205875,41488184515
196824,93174278075;207260,28868220194;206210,55677320086
198154,84605662271;207260,28868220194;206066,4471651986
196262,80313393753;207260,28868220194;205237,0884687085
192364,10052160136;207260,28868220194;204866,2627652985
193405,1255387276;207260,28868220194;204419,33228540397
195320,96750537306;207260,28868220194;204870,68838495424
195163,52628614934;207307,9903351366;204820,43805465568
193331,5917362969;207307,9903351366;204795,1963272677
194625,1890887337;207307,9903351366;204881,78444107558
195320,96750537306;207307,9903351366;205196,0555476965
189538,95938811533;207970,49040923355;204596,16735176634
193917,5913469033;207970,49040923355;205016,91212815954
195695,79165855987;207970,49040923355;204996,2728273604
192305,88587669382;208387,2430259642;204962,16331652703
193902,77103036206;208387,2430259642;205327,28886731077
196220,5771123693;208387,2430259642;205343,92752619402
190440,9886545313;208487,8436214898;204262,00705705702
192659,6102390854;208387,2430259642;205290,57725264176
196425,77992442955;208596,97563501482;205869,65563448553
195395,53291722806;208596,97563501482;206325,2973113918
187925,57257622166;208596,97563501482;205414,36992162908
194271,52341507806;208789,69906906853;205842,45597143486
190409,31652146386;208596,97563501482;205203,17824691816
195262,80636535003;208789,69906906853;204618,87087303156
195395,53291722806;208789,69906906853;205893,15166358944
195395,53291722806;208799,25041812204;206540,3989545231
196425,77992442955;208857,01729361803;207213,81543275158
195395,53291722806;208857,01729361803;206753,88814039453
192895,9804403857;209192,15503261052;205347,362576877
193848,0414639702;209192,15503261052;205874,96607708654
195045,61444275524;209192,15503261052;206215,5298638522
192895,9804403857;209192,15503261052;204339,9475225476
194693,5016435177;209192,15503261052;204073,07685587063
189012,35418243523;209192,15503261052;202208,1951978229
185756,1020563242;209192,15503261052;201615,55430112116
185756,1020563242;209192,15503261052;200005,80536468365
182825,50881560717;209192,15503261052;200746,89001797375
182825,50881560717;209259,4743305215;201047,82831073608
182825,50881560717;209259,4743305215;201825,30667270604
192860,6576789081;209259,4743305215;202962,98074332692
190321,66511613183;209259,4743305215;204193,9888651665
194957,69580803113;209259,4743305215;204631,94089286585
190003,46583380172;209259,4743305215;203205,9658909455
188946,02354786306;209259,4743305215;204307,81642457866
189675,69837245013;209259,4743305215;204595,16767666631
195479,0451694086;209259,4743305215;206347,53658540946
190409,31652146386;209259,4743305215;205990,82020562526
195311,3715536574;209259,4743305215;206203,4491223169
188769,44028914295;209259,4743305215;206350,57654150482
192608,4630546092;209259,4743305215;206605,50648984042
194254,77187141494;209259,4743305215;206744,03651563852
195061,707405523;209259,4743305215;206665,88346247099
191958,1342677311;209259,4743305215;205436,89889771986
191264,00734700478;209259,4743305215;205829,60761350684
189804,3474412525;209259,4743305215;205233,44968824805
190921,93869256496;209259,4743305215;205624,4792394611
195319,59063072718;209259,4743305215;206373,21805957102
192358,0498303399;209259,4743305215;205822,6579824421
192608,4630546092;209259,4743305215;205395,10400526316
193280,25685386275;209259,4743305215;205450,6565345273
190897,63413855727;209259,4743305215;205572,214919925
191264,00734700478;209259,4743305215;205888,2111833283
194838,15366703155;209259,4743305215;205656,86526616587
193226,05597227297;209259,4743305215;204830,6606377668
195395,53291722806;209259,4743305215;205440,7026153947
196425,77992442955;209259,4743305215;206052,84100482005
195311,3715536574;209259,4743305215;205856,2217460516
195395,53291722806;209259,4743305215;206036,82814550085
195395,53291722806;209259,4743305215;206792,48458773736
195395,53291722806;209259,4743305215;207509,51817154273
196907,67523501307;209259,4743305215;206676,67553582485
189142,93876543103;209259,4743305215;206279,83892874615
185880,00188752142;209259,4743305215;205821,92043152262
189142,93876543103;209259,4743305215;206186,47132761468
