min;max;avg
47531,22422423883;126840,8263992632;101563,41392364273
58667,79071452079;146454,9576083768;111314,01751779958
78800,4116008181;146454,9576083768;118030,25353965705
70734,55821917896;152988,36341553557;123611,9601681555
91929,95593193299;149661,2218109365;129930,32776724249
91394,09060388795;147631,66810167668;135929,93544112035
111717,96140966742;150963,10591235745;140120,04842154167
115058,94588774646;160254,33517382632;141113,0142684356
110174,26766453363;160254,33517382632;141257,77572272654
108243,97839693804;161510,44563123112;143792,04379232536
119661,47972758597;161510,44563123112;150765,7066792175
116466,2293733882;162175,36557405055;154935,69172095656
135871,23047903203;162426,7883812068;155979,7056216037
132423,66853638456;163602,01503666653;157016,63992732635
137039,96559847466;166782,8707180841;158910,7930798853
126730,42301142751;168483,68974324307;158444,18175570297
125242,65242074808;170845,9129437927;158602,76402181917
133878,86247977047;171923,87115838373;162457,57065079806
145345,62569465383;171923,87115838373;164543,3208326425
142800,17195927066;173581,06827589954;164720,89219000126
140609,6894624249;173581,06827589954;163955,99896859284
142800,17195927066;175331,13347250666;164929,23867358104
133713,795372552;177536,5836792281;164618,38662029177
146108,75773106952;178328,40737707634;167917,78805615465
151372,8393268227;178328,40737707634;170102,00460629008
150780,04751464157;179239,22490567894;170787,72301316258
139458,6226151933;180586,4888566868;170333,3270191404
139458,6226151933;181824,09017214226;168777,9552685024
121600,55535343025;182562,29136395332;171915,11111117704
121504,64953237548;183737,79238868225;174376,08662815244
156202,4552892864;184248,17951558574;177603,30626857502
146357,83725870325;183955,45934148118;175691,61801742372
146357,83725870325;188356,87043642587;178313,94673157737
149919,5385209348;185790,97063172824;177953,20570999262
148882,08750245904;186099,54183632968;178299,98890077538
163718,34475999133;186099,54183632968;179192,40512150628
156284,7402169436;186099,54183632968;180197,75729030752
156284,7402169436;187816,15606064923;182602,5483221709
164343,29348985045;190000,75197420485;183163,4109188479
174010,05117986258;190000,75197420485;183981,84886480877
168779,40464098213;190000,75197420485;183884,53907650776
170108,2582774475;190082,40592437919;183917,64170433822
164937,99189368024;191921,10982513052;184735,16259127163
170795,48920767743;193623,37767076713;186649,3659943866
173412,8070565335;193063,53346361668;188153,52663241967
175182,6895897356;194816,94808000643;188538,1793256785
162212,26690227605;194244,45385592664;186765,69470507864
167133,76701204703;194538,74778504603;188710,9123742279
179535,732575293;196659,6132954646;191540,82322541228
178636,28988327872;198720,44676281422;192400,26909824013
170410,77730968187;197868,15594600822;192691,41188305579
173724,04871180066;197868,15594600822;192055,77949387045
173724,04871180066;198020,47564633176;192961,24456419804
175000,66769932676;198603,3238189301;194337,82207891264
179091,66117315972;199321,01996396118;195277,3275583604
180382,13020893547;199607,3562248748;195380,7012748076
175359,06782965723;200557,94761791884;196122,3415538087
178448,8082364555;201399,32697222885;196014,88788512963
174970,22171379908;201884,70259198872;195716,64212206966
178047,34771000646;202738,69755802338;196957,63034203497
175979,34264334867;202866,77902827488;197591,45515712752
183436,06090457857;203862,31424386683;198437,303023156
178697,18884424504;203862,31424386683;198399,26740743074
180942,28065452678;204142,07709702227;199236,99759693228
182732,29100874977;205268,31347921782;200656,9552831917
179437,95598414793;204966,78676817863;200071,8441393334
180181,340713176;205075,11413313332;201048,863149471
182370,37471110496;205075,11413313332;201364,11434760355
187417,0554869981;205205,51823379006;200259,35050207606
183661,49968238175;205391,97321834718;200651,95292169505
189086,3450690648;205543,89884347003;200853,843665918
180457,67692835495;205886,84720599838;201149,91260156658
191079,82168553252;205952,91219946372;202118,73934536838
186503,6994085884;205952,91219946372;201746,5005502187
180702,9960009497;206174,12648023647;201645,4892538135
174457,9620518562;206973,07337904122;202306,16256401053
178538,05590283946;206868,5414198756;201331,48834535413
176901,4931029796;208402,93792278995;200649,0811276798
181231,90996925166;208402,93792278995;201855,04684716114
185939,90315096563;208402,93792278995;204389,75064602614
187061,30571867246;208723,0846005574;203742,78967888444
186576,56164636344;208723,0846005574;202631,03561394857
184810,90747617866;209633,8588604962;204090,23337812803
186444,5869480067;209633,8588604962;205070,1153588145
177484,43264058983;209633,8588604962;205036,88834070304
177484,43264058983;209633,8588604962;205215,70627991465
177484,43264058983;209822,70364930775;206072,05240332842
188943,09663737996;210736,6351255375;206068,32308631626
192002,66230593296;211329,34009500826;205657,19871729275
186121,04726948566;210111,07550108826;202952,7735943691
182267,13307539426;211530,75814746408;202056,95152171285
182261,97360031604;210793,59170857456;203081,6977727303
182643,70769299692;211732,14345070528;204314,34196306326
184875,31353044504;211732,14345070528;203401,20947194993
187802,5171080049;211732,14345070528;204675,1356798182
191475,78048599267;212336,33203235434;205594,45275669367
191475,78048599267;211933,52874267957;205944,4983870659
189762,81322523858;211933,52874267957;206679,18442696123
189265,70460785058;212231,5917788854;206254,62839472617
180955,21791836142;212149,36820648971;206607,3464194816
190841,70026293385;212149,36820648971;205550,66465891947
185424,41769805524;212393,8846614659;206259,31218033817
182345,94689537628;212433,00980098546;207054,91477486066
179255,31341454928;212393,8846614659;206499,36425418901
179255,31341454928;212433,00980098546;204975,6622078041
173982,47606727874;212222,98243534265;204820,17999843907
179255,31341454928;212222,98243534265;203124,74448760864
163899,4946113291;212760,303690165;202629,6813796507
168533,9315162723;213148,98560260786;205025,12496121816
175915,0918138062;212222,98243534265;205557,94477152094
186249,88263859585;212434,13335568842;206533,24249178785
190040,68334897066;212454,0922208547;207234,8011801137
186050,36888470704;213290,28631215054;205756,30246205055
165415,7413539992;213290,28631215054;205218,120758277
181225,06930787922;213290,28631215054;207598,6485000865
185355,3083377321;213290,28631215054;209226,83667934808
189957,80281114395;213290,28631215054;209040,3638725153
189957,80281114395;213491,72526476756;208593,82814294216
188471,267992032;213491,72526476756;208967,97894487236
187989,56199891842;213789,7673443548;209597,03447067805
183200,22915817128;213789,7673443548;208126,6872451728
186475,6950688968;213789,7673443548;206922,38124083332
184381,09159321856;214172,16994063082;207956,67607860934
193212,33126705408;214172,16994063082;207339,66514027116
182397,26185434643;214067,3608311409;206947,56257694485
182397,26185434643;214172,16994063082;204247,2898948013
