min;max;avg
49920,22701746129;126461,28014278752;95331,56513813772
69350,54869967821;128362,6900516765;106329,88333117218
91906,4277445235;130477,7139775978;114373,44676198057
94497,52164210111;136725,00899315244;120610,79882128311
94865,38365150173;141913,13401437172;124279,44210759696
99587,64515117684;142060,6763189418;128712,42725357464
113852,51884881122;147986,8968811857;134104,19294575186
105020,27674391179;148099,9664639212;137323,52675065285
125495,3936851992;152226,9196652618;142394,30794103604
130195,72914828113;152572,84851141402;145376,6368637971
107875,93451016999;161906,41915568462;147582,77502236248
125565,80787140306;161906,41915568462;150066,0569811114
123409,14645422462;162167,9762370671;152799,97619752144
123953,04366255939;163965,0202209521;155031,97968277018
134421,23024051278;165907,05248144397;158759,27814894484
149700,42613055726;167693,33382774302;161155,27383554992
145578,43133030745;169643,37913441114;162707,8448102017
151709,20153942698;169643,37913441114;164160,9128420126
154062,49506643077;171875,00067788153;165185,78708425877
151435,09184804992;173111,29022927472;166221,67008860403
154316,20117942852;176203,57652486084;167678,9319275337
157801,34488486557;176406,0087313216;169992,0907883401
159108,358981202;177421,1780197482;170794,80383362478
158268,90302384837;180076,211546776;171874,13393258033
157814,98259894887;179901,0394001098;172277,1405913976
162772,35645443772;179901,0394001098;173324,41285463754
158846,58663961198;181484,2059310884;174886,79248273
160967,87190144698;182143,6912555009;176177,00307999697
168431,54205214017;184398,0290337574;177199,8125457099
169665,3125751941;185991,62990515807;178562,1014795797
164813,7429849519;186287,40345242352;179658,9800567982
171401,2782010082;188037,1609907389;181970,2772781251
171370,77348826465;188037,1609907389;183456,26074391993
178181,69874633933;188378,56925080984;184986,69900743267
170154,39170519583;188786,13594688548;185381,07368815743
176460,31569449685;189575,10656920134;186175,36216495524
176403,88321660453;189912,76253405085;186187,70170167333
178063,57188457274;190726,39628507232;187107,1905055299
177862,8110780514;190726,39628507232;186923,3849919501
178166,4978868759;191516,0294657462;188346,27213471793
176373,532973108;191629,0821770673;188857,43098202604
173410,23892336892;191876,23916655063;188826,33281138967
