min;max;avg
33412,880848767556;131991,25400058556;95228,30457187622
53322,474356010905;136707,1221016155;107453,04273313696
75213,37490356326;140523,5220298302;117799,3661151627
96768,73741557158;150531,00474847088;125364,35985099226
96768,73741557158;146283,61862059557;130666,94745208224
110580,57612466719;153083,28727967403;136295,37789659563
120229,83525015193;157940,1225988639;141057,03599485394
123206,04156334064;164083,7493566156;146114,3946149369
134073,5250290863;170087,57437953807;150826,81415113865
131927,42559908435;166726,3174212419;154405,2972545988
138229,6935293818;169840,9556896831;157524,15269962102
146837,92661803906;170192,47393896815;161150,23514230835
146243,22327865416;173218,80654249035;164042,27838833936
148140,51090737092;175381,032304215;167031,91998547458
153324,43473398912;180832,6201248521;169447,48799747153
158654,33349423675;181712,35140328162;171582,28413227975
151055,53002502327;181916,3658418901;173794,38955908184
160986,08857262268;187507,66370860417;176040,22879882978
161291,57296284038;187507,66370860417;178215,5146222515
168440,84523890627;190508,82821026255;180320,96889117442
173282,668091223;190117,8823683478;182205,15143037922
172129,7400132458;190117,8823683478;183627,4720378261
169209,16410011728;190819,0762331742;184771,28609329226
172260,00749349187;192114,3150583597;186186,53138107475
177427,03585055898;192305,43007902292;187703,20742394825
177221,68990465783;193096,57490327588;188795,75499982023
180465,3856073966;196184,32052245992;189714,68094826784
175977,00392228545;196184,32052245992;189926,3546669495
179528,05337433214;196184,32052245992;190526,45429599128
178664,35980598445;197964,50675503674;191648,08931900735
178664,35980598445;198163,41738088898;192368,97880885474
179810,61254680308;197428,6707878258;193160,25020258166
182863,79460403233;198943,55032672212;193359,00537317232
177318,95525039395;199049,98485051782;193393,42277786034
179425,8040969805;199049,98485051782;195206,0462812871
180074,86115203678;199558,98911217798;196187,85848487346
185324,00077730964;199753,27930856968;196898,08971210718
183435,97469211556;200151,18538553274;196862,94656287614
178150,8690353966;200979,32304283086;197208,42793855935
188642,03530229366;200979,32304283086;198047,95568696942
187244,3443167595;201305,82778436394;198314,05175618644
188857,68381330077;200979,32304283086;198593,60045333236
190541,69317325007;201773,03463503887;198619,3933554912
185452,68356730556;201773,03463503887;198370,99346283812
185218,43394922954;201782,31035209494;198385,74281164177
183069,5021021723;202074,8777605457;198912,78418732714
190387,01702000428;202689,72289564915;199969,36477439746
191517,67238912237;202864,34805623116;200245,3573897393
189496,36809023286;203286,5199900597;200635,75220187713
190872,6861512846;203286,5199900597;200702,63534105453
185956,96009000152;203695,3181672486;200627,16221192974
187627,95873481024;203695,3181672486;200767,62407429505
187264,15311281668;203695,3181672486;200410,9692964276
184940,18994446332;203795,97841867784;200211,09432728292
188543,00427414774;203795,97841867784;200708,12826920263
188343,64209301613;203695,34612217615;201132,96740111633
