min;max;avg
37333,55039839071;130463,70428369925;88538,07164300172
35662,969421346;131062,44822589587;93385,82207732575
38662,560232117336;131263,55377485338;98376,79446593492
47976,719316989795;134980,75316763172;99585,29349872381
51943,593338843755;143436,55547748375;98504,01883056821
49667,4129431193;144195,16457824898;102508,54623454576
50681,97041364593;152331,51144413726;105661,37135737303
38594,51899376558;152331,51144413726;113381,51222045592
59360,45212758868;152331,51144413726;118443,7717739911
59360,45212758868;159220,38144224946;118145,38348087411
59186,188289006386;159233,34489911684;125370,91437457662
59186,188289006386;165159,4962576818;126371,79460309792
65019,183740243345;159233,34489911684;125999,50627041941
72202,21346008795;161477,6392902553;130793,79978127913
79885,60520271765;162773,34685416718;131947,07010055697
71218,23020633962;164330,77153272292;131610,01309171895
57394,311856326385;166979,94718482977;130053,57833652265
62499,237165011524;166979,97992330452;134418,35850957278
67919,36390619405;165300,00846349262;135013,24869537566
81308,8804522861;169458,00487527333;141426,25749366172
73238,26838166823;168172,579679393;142099,98133235838
94013,06269733552;170364,05821870384;144943,7478071844
92386,97405580993;170847,44267904904;138916,41064003567
73903,26397885909;170847,44267904904;141276,17915713126
60045,71006502796;173104,29895295113;143696,9628822728
73903,26397885909;173104,29895295113;141621,60033672638
92902,7677944751;178159,2525650342;142865,98446997322
92511,40069237861;178498,35439077014;141572,37779339903
95289,70768040733;178223,47419912386;147417,99654621852
95289,70768040733;181574,69003597536;146872,1523041191
95289,70768040733;180319,9361256378;149884,39570298523
95289,70768040733;180849,94824647755;151045,1388260942
106788,15719840329;180849,94824647755;154776,5305521648
108644,17420805444;180649,28687364084;152551,25346050627
100641,3498694885;179490,5079651559;152348,44395820945
109144,51301756114;178314,30985501327;156708,370104457
107041,06944360095;177931,52282517013;157506,189532943
102965,61242111429;179695,3701687146;157191,10182363563
100511,08065471007;178779,96251351805;155127,738467815
100511,08065471007;178720,1426455542;152603,78898847837
95431,57737401244;181508,66927990326;152158,53480487727
95431,57737401244;181501,652549882;154334,6668515374
104734,09216939972;179291,46306541705;148808,44331146352
104213,03579932332;179291,46306541705;149090,75707825006
87383,1650992675;179393,5178543416;150041,2794033226
103636,50467956092;179782,63115208407;152978,53330701712
105722,31121125992;179875,57582570653;155235,77872882658
109059,41288210588;180923,47617753167;153022,37889919436
103007,16405959005;180323,3012004767;152341,38759993232
103007,16405959005;185648,98105748463;152739,5550118972
104010,18555792971;185648,98105748463;151744,78050387008
112756,73724250714;186521,52127436874;160069,24864354805
107831,45429957888;185648,98105748463;160202,30722531205
112756,73724250714;185500,1767705466;161162,49627479594
112756,73724250714;184568,70683668548;161805,58125523056
112756,73724250714;186070,642532565;163695,56920127894
112756,73724250714;186070,6855448896;158812,75578930072
112756,73724250714;185226,49605469452;162126,53261924407
112756,73724250714;185126,0933581251;164210,17932033434
112756,73724250714;183924,23943014402;166338,09077872112
112019,87167000026;181566,91812121455;167362,14877745206
106944,59370007276;181105,84502342355;163604,19262029717
109489,4758857477;184717,96995046444;158857,64273667053
109391,30744107426;186177,23822979437;164702,11368772303
111921,63925164696;186414,0502756337;165754,6050766676
117455,86360154062;186523,59861778325;168044,03122332934
127186,32731657563;186118,728600193;165591,04697985365
128018,29725452725;186325,20067661325;165697,76739892212
128023,87201483606;188266,87552547763;161585,50713971662
118294,77941907241;185514,79738766988;160056,33695197478
112049,54346726541;185865,22696702252;162108,80237790328
127782,8059158813;185865,22696702252;162071,17243451593
129330,6770635779;187928,244131024;163284,2376180786
