min;max;avg
34364,06068802427;123306,59734231106;95612,40043015165
78224,22072431183;126914,62191763721;105175,58690934384
82287,1223515195;129972,65848027298;111847,69928641303
91138,31821601043;142560,8932389111;118400,08212108896
93367,4804934288;145045,63565971673;124990,38206338823
106654,43503523609;146999,52479239157;129746,61949972689
108491,09598356049;150355,6276003199;134316,49046864596
115478,97295499386;154365,61621469556;138623,60659837723
120287,56324731567;159734,06787945118;143448,77594991509
126999,66588926112;163918,97901118215;146685,8876055545
129872,22655793605;164129,7211741084;150309,55249761036
129801,47662114445;170133,672999834;154470,5018330465
127498,99531843662;167233,81631164573;157178,07900819785
142068,87390691054;168293,3128426238;158392,8372256702
147396,23307592625;171466,31236318205;160884,50976505486
150352,80790761794;175105,05693402447;162918,77381412146
145858,46226320343;175105,05693402447;163864,18491921184
150453,2502213372;177482,20312264154;166986,38280269946
154645,211748347;176829,8005348571;170061,72246248033
161697,4323426842;177030,50489232264;171903,23935939942
161531,2976448201;176806,19728101103;172644,32629651442
162798,02541043045;179680,5200248244;173625,7072202535
153486,13983061997;180081,91866302025;174269,03541706182
163280,39366309502;180081,91866302025;174721,74503720543
163280,39366309502;180760,83047244267;175376,3962490169
165745,5894211837;181827,794040944;176785,89624325334
166823,2771086163;181827,794040944;177427,7532709549
169958,7375139556;183880,1108688126;178923,78331509736
167384,3279880524;186539,59601835714;180360,03340056588
166998,7496375598;184986,26347681994;180648,05751953032
164593,79103846673;185769,77570203852;181319,4412044671
169283,4799441195;186129,53938740573;181794,59204453815
164255,84473121425;187025,94412538368;181724,02455664417
165122,8533968817;187025,94412538368;181927,0980496788
167013,76395835425;189252,56262264962;182938,8108435258
167384,77136090148;189252,56262264962;184140,4532656132
177100,98044517534;189252,56262264962;185758,45830005678
172774,63108831565;189578,36129060804;185430,91385155887
175140,6009866941;189873,6662412859;185485,3453618726
173031,50651920825;190114,75308585734;186488,53632656686
178200,78031405187;190483,98845556896;187695,31157244515
176863,68203688617;191686,60311680724;187470,6828837189
164084,64169192873;191686,60311680724;186598,264217086
163977,05869278277;191686,60311680724;186408,18175805136
164084,64169192873;191946,44337585184;187319,3137290877
174380,12149413035;193679,40944754027;187382,88484686177
177353,32795253157;193679,40944754027;189385,61503243953
175317,7091451896;194392,64067286515;189912,4729109695
164638,85470423062;195099,61662797933;188178,30172896344
173777,9778420439;194977,54197002205;187305,23867302228
170418,10428027186;194392,64067286515;189459,35621802873
173710,29819982435;198297,6352192995;190992,30118971688
181590,53932004358;198297,6352192995;191966,81976430415
181590,53932004358;198297,6352192995;192845,65576037805
182347,33827275978;198621,80879371904;194308,52968051753
186293,41135792568;198800,59622658632;195612,23645504328
188202,73190325312;198800,59622658632;196591,22823563387
186836,9923593037;198959,24470910145;197057,30740557934
187199,54737158847;198959,24470910145;197263,0010251201
190359,98663178983;199848,15647049661;197132,2048503403
185623,59107633893;199751,07349614252;197266,72306701395
175190,58036750992;200153,5091858746;196190,19156628623
175190,58036750992;200153,5091858746;196649,7828412934
181063,43873976605;201034,24882258917;197621,7054375371
180351,57793688908;201034,24882258917;197479,65799272037
179378,80667947966;201134,86092408735;195835,09121027798
177259,56011606817;201411,46761024132;195256,24325170173
181449,87040562468;201795,97808202647;197374,64782169636
168017,17670736503;201795,97808202647;198126,715662279
175489,67109762353;202849,17227603792;199044,08326666
191265,85267714094;202849,17227603792;199467,49454611656
189723,32831638376;202849,17227603792;199826,57743458715
187325,61652749713;202849,17227603792;199786,62091442334
188902,41879182932;202344,11176180985;199540,68494249997
186460,6160588084;203696,2976790611;199216,57273908335
190623,87577914624;204504,19395468372;200065,68216889395
188344,52816267603;204768,89895242918;200655,54059433995
189103,50131229882;204945,389424701;201399,36117821655
192118,14574548503;204945,389424701;201696,89953070466
191476,10970458196;206155,88041064324;201968,31568773158
186613,6707099438;206665,4731311935;201862,73117288723
193015,72887583345;206665,4731311935;202530,31560532452
192770,648319475;207028,90419978442;202990,6925094917
189003,90729647462;207028,90419978442;203292,34213601061
191626,23948197265;207028,90419978442;204400,97622514731
180432,7685350884;207028,90419978442;203746,97174819332
191694,5264678644;207028,90419978442;204395,73917684134
190087,64238198276;207028,90419978442;203041,07066261314
189492,8815604053;207150,50849593163;203941,75164121008
189090,81864486524;207318,19151627878;204052,8642577508
181733,0570052336;207318,19151627878;202693,11268784016
185001,8755506925;207513,99684289412;203132,02536164035
185001,8755506925;207513,99684289412;203424,18271528513
178968,30330626323;207513,99684289412;201977,29265291634
174289,15671448922;207513,99684289412;200784,5710264793
174289,15671448922;207513,99684289412;201985,6870045945
178968,30330626323;207513,99684289412;204509,9818078011
190376,73328373086;207513,99684289412;203671,1864073226
180714,99212811058;207513,99684289412;203350,1221104008
180714,99212811058;207513,99684289412;203229,67271967756
191706,57881459413;207916,64757018714;205383,2409837254
190956,0047683526;207614,64629796176;204355,4153408654
186450,09753712188;207916,64757018714;205163,87721582764
193988,30371534012;207916,64757018714;205590,5514293535
193988,30371534012;207916,64757018714;205925,2404295305
192435,10541671605;208017,29701105034;205708,12472690202
182943,2542288312;208218,64881034504;204079,86434445647
182943,2542288312;208933,81045543903;203977,95167396322
182943,2542288312;208933,81045543903;205217,04840210668
182943,2542288312;209437,15979647601;205243,14692412544
191707,96112795162;209336,50052076217;205050,2565730934
191583,94908712787;209336,50052076217;204731,67939031293
187327,2510107334;209336,50052076217;206160,98487058346
189981,60673986445;209437,15979647601;205814,69711401392
192453,87687188596;209437,15979647601;206509,0997069687
192594,6185078579;209839,84979351863;206771,02702964845
190618,05721160228;209839,84979351863;206645,57977572017
189381,62103135846;209839,84979351863;205934,6370684737
184830,434594872;209839,84979351863;206101,73212984827
186630,8976576627;209839,84979351863;206019,18829329673
193339,17321959892;209839,84979351863;207015,01783530152
182441,6488714259;209839,84979351863;205607,39515251922
183106,82054036303;209839,84979351863;205798,62538193216
188385,8342509403;209839,84979351863;204639,7724793342
189302,30357693258;209839,84979351863;203403,46059590986
183200,46507240966;209839,84979351863;203696,65080691632
190411,61394372553;210228,87132468453;204964,97506061746
179308,71542103408;210228,87132468453;204813,30667869776
186914,6062464367;210228,87132468453;205288,0193183057
188901,0261211851;210228,87132468453;204810,66625596173
188901,0261211851;210228,87132468453;204565,8290633063
184099,9169065809;210228,87132468453;205031,9910763583
175828,56332985504;210228,87132468453;204441,03858092363
187396,24084102083;210228,87132468453;205422,80915086725
187710,3254230189;210228,87132468453;206890,54605952452
181462,82110592845;210228,87132468453;205751,48260710988
194293,38315814972;210228,87132468453;207634,16728225272
192539,08674006522;210228,87132468453;207191,6464361761
183541,71510914902;210228,87132468453;205670,46230122668
186108,587569328;210228,87132468453;204928,67266163108
187091,7490310322;210228,87132468453;204535,28799590573
187091,7490310322;210933,59191957745;205635,02845686945
187091,7490310322;210933,59191957745;205779,12614606
183392,48308290105;211034,25115423923;206719,38497139324
190911,6876255272;211336,2817660652;208657,4499939997
194387,7074163598;211336,2817660652;208674,88999100667
189568,43612552626;211336,2817660652;208220,23210848917
188387,1152555028;211436,94098706817;208289,58983350144
