min;max;avg
94074,56361039396;137221,3554884631;117344,85051952285
107719,06125245133;143470,19261395285;133933,84032700333
116844,82838305383;150517,32475032058;136624,8316642445
137774,27446369862;155759,61069338504;148664,85056588805
136172,04873687585;160202,160339157;149521,64088229756
138100,00590563507;163235,03845355677;156795,56543069473
151714,88980215383;167377,7943676248;158015,7541359401
147505,02048802376;170427,64705374595;163694,07043672362
152268,7096360265;176561,5783215418;168312,92634091593
149757,43104100807;178196,86978665498;170352,00738365992
149656,39369335282;180900,916742512;174390,7115429295
171179,6076535986;180900,916742512;177391,94327058538
167567,82678996003;181712,14679534722;177400,14827207744
166811,84852783912;184071,48997196235;177967,78116482607
165213,46738981866;186400,81771022588;178952,84058320042
170102,9842490593;189168,13398227654;182590,0557849374
175943,33475882185;189168,13398227654;187216,21304789014
178987,07372852348;189800,89114158018;186703,11175518492
175726,13372731884;189936,92362465715;188251,3081959861
170947,95021529603;192231,045141306;184021,04708154162
184917,67751374995;193575,56886181002;191623,03449664
180112,4211742034;193400,41554460843;191791,99243216607
173339,14363634918;193400,41554460843;189991,0181838816
182857,97020666752;194056,20882223404;191552,94540891622
179709,01776466897;194056,20882223404;192082,46161610278
174035,46789638046;195590,78204316832;188019,9176295869
184984,4438480388;195590,78204316832;193465,5293001679
188531,6171856146;196392,5289811963;194024,57336644584
187252,14214738616;197160,83748632827;195323,45861122795
181701,21296294272;197160,83748632827;190400,07036334858
176747,60262285548;198309,65650636857;190162,34604969836
176929,49614987106;198686,80451842537;193594,8639236683
184930,06433303398;200454,16157500626;194693,813354071
189618,09417620685;201275,37231945747;198730,71471070815
192216,20556808787;201376,01969779882;199452,86724804732
192732,48918061465;201480,5185407952;199912,86875815343
192402,81693711822;201480,5185407952;199189,85200673796
183265,58812226384;202364,2823468453;196806,96149827243
187271,2151297279;202364,2823468453;198123,6155883578
188126,98576274447;203829,3552283071;198370,32555885278
190880,06250762517;203933,96669920767;201132,32305199257
172479,1878356036;203933,96669920767;199059,14252420652
169748,19499297877;204926,09809801902;198352,91207325622
178928,64036694105;204926,09809801902;202084,53468306505
188494,07013163634;206381,0396843075;202027,95343504625
181990,1609239645;206540,12401791013;200265,17905286644
192014,57750665426;207101,61140760191;203521,6244024005
192014,57750665426;207855,13056359056;204068,78842520897
195892,5610263798;208632,63534187997;203764,29214587784
195800,2991153062;209278,7637472044;206802,6240077877
200152,9938750741;209840,57632435663;206756,32177983783
203364,02368043648;209840,57632435663;207589,48290333166
193555,6089759437;210287,19876871796;206328,7219777377
200873,25867125893;210287,19876871796;208610,82087055736
196454,37012195832;210518,9531253843;207360,51341993504
197099,69395572122;210518,9531253843;207840,19258762873
192102,50867569481;210518,9531253843;205590,87637079583
199482,4235903807;210518,9531253843;208994,73688440133
201069,93959791667;210623,73533047864;209481,18945015594
197683,9724854802;210623,73533047864;209648,60478539675
196275,0722864683;210623,73533047864;208879,45363611545
193689,14997641626;210623,73533047864;208895,66485098354
200042,275842987;211218,13213331532;209106,83822323527
200815,74807824462;211430,22209297592;209093,25628034121
201783,51252537675;211430,22209297592;208744,47211356257
194294,90957944485;211430,22209297592;204625,5654379745
188780,86719313817;211430,22209297592;201735,95928945328
193690,55021168326;211430,22209297592;204043,98281023063
188317,03242810644;211430,22209297592;204488,3054751008
199095,8334005969;211430,22209297592;206225,40728282
194794,99584008157;211430,22209297592;207179,4899082327
194277,65338013647;211430,22209297592;207536,97922014553
196655,36790486623;211430,22209297592;209239,54419773392
197781,04852405086;211430,22209297592;209998,6507421742
198441,471017941;211430,22209297592;209924,94227994632
199755,5690117821;211430,22209297592;209997,02786295617
205103,32459437277;211430,22209297592;210610,16399569742
202049,9801470893;211430,22209297592;210119,059943906
201716,27474888324;211430,22209297592;209719,74636399458
198819,02760683038;211430,22209297592;209931,87235925125
203891,234211106;211530,9201955113;210352,4248646144
198977,2756323472;211530,9201955113;209528,4164495567
196203,71951894864;211530,9201955113;205126,81126481388
193017,80198890914;211530,9201955113;201275,2932112317
187710,28704289568;211530,9201955113;204179,1488629679
187976,87342304183;211530,9201955113;205296,2273698245
183656,47181950006;211530,9201955113;205841,7330296348
187724,34207724434;211530,9201955113;208267,7209856128
187324,02170664095;211530,9201955113;208691,47912739072
197635,15380782518;211530,9201955113;209688,92125849775
199063,73501903677;211640,36802495725;208821,16624059205
