min;max;avg
43938,36661981649;128255,4346261858;98018,80449014378
77344,97131446816;135798,59413548626;107828,22067898104
79278,83606927056;144788,8302661577;118079,89724709038
70717,69007092557;144290,12316114176;125256,22578343643
94051,18666604604;148813,27918170657;131307,73697767968
116586,13947574556;156169,00132516684;137172,65599605936
126080,07863514751;156168,97082541324;141781,76232905776
122590,07962876168;157280,59350961528;144796,83102793276
133027,23826120532;158358,9641660404;149495,9894650163
140087,5726551584;163459,18186302163;153030,4581909249
141373,91021654237;165992,56354810836;156289,65485156
138059,9374135991;168494,7591065771;159603,46813105568
151137,17531893586;170655,70809448502;162713,73558019297
151826,03577206683;177460,23063613247;165294,2656884324
146235,95846181439;177460,23063613247;167796,70197551043
148686,2243091988;181356,75419245218;169860,4289023689
164113,43589103688;181356,75419245218;174136,60067216482
154165,84167357316;185018,88714229394;176945,17056691324
168028,34390102423;185847,39643794112;179174,2147246406
167354,8214079766;187358,90761532733;180024,02104054875
173518,53618483906;187456,40701583575;181645,1807451057
175516,97706314424;188574,76232717338;183085,6771945788
177482,2804673445;188480,54100633634;184426,48441342887
172436,6574029011;188586,32014485792;185569,50670960385
174952,44066218665;190142,6221292128;186691,89165314834
174127,09356108183;190295,9833718203;187370,2432247119
175798,69223821245;191062,05808200248;187944,5211793671
178919,41893220437;191733,1992096725;188902,98961135134
181433,26217242924;192153,19968475137;189632,56314959933
184057,0118053736;192630,74196426925;190381,72852154035
182106,8018191571;193021,4683908354;190531,53901092132
174465,76349290687;194387,58369489977;190847,3971708168
185342,97976807936;194613,34489303606;191864,41517638564
184689,55421225657;195845,83990321297;192291,2931987806
178926,0488537046;197976,04751888494;192631,64479779813
182349,28846919315;197676,0215959127;193339,89913409136
186882,4893087977;199805,26777839696;194305,0305314191
184376,71061364433;200405,51169981164;195286,56939046006
188131,98117017653;200625,22204268887;196435,34220669247
184289,2202414689;202205,3407027697;197866,36017404174
187071,99706051778;202607,7963645834;198642,85944930356
190548,33545153157;203319,61078885308;200008,25649787032
192306,97449719062;204272,21009021235;200722,17799210708
187637,6784345102;204126,77795271366;201494,28513233102
191185,05282118398;205764,98551424535;201578,2989380571
194818,82524641894;205966,27222938597;202867,5008078979
193044,8481825188;205532,81184507412;202694,80360781946
196392,81291911547;205956,80084751308;203600,94086788112
194069,6318449558;205956,80084751308;203949,72525786824
192581,31521678256;206060,65654595284;203812,86546783705
198442,80262124585;206424,24677280505;204703,95192225222
192585,54925135142;206453,02978708572;204624,8684631175
197490,19425430393;207320,3521416834;205305,85619957108
198002,76197264827;207320,3521416834;205339,72452594517
192686,0378073116;207325,5224296345;205194,40496824638
187146,51941512528;207610,8085990354;205350,62220386308
197247,7743140513;207718,166695413;205777,33647003892
196733,97838437167;208016,35739014993;205937,49144128882
194016,34812797466;208016,35739014993;206454,83636411384
197426,71114276443;208419,0371039271;206894,16596764827
196742,6268893993;208419,0371039271;206690,39675832185
197825,2733208069;208175,84178576618;206830,21793394553
194798,45808923268;208419,0371039271;206738,98634004084
192807,618233921;208476,78964617685;206866,35061521392
186525,358241026;208419,0371039271;206813,44518773924
192581,1926660554;208821,71676146722;206725,67461160754
195215,54226341646;208821,71676146722;207282,36187376772
187314,19324846123;208821,71676146722;207274,3100497289
198617,8231138885;208821,71676146722;207566,25333655265
191850,51181401702;208821,71676146722;207340,96827899557
197025,96512362148;208821,71676146722;207583,2049233286
195131,48370033872;208821,71676146722;207753,70138821116
188488,55436637418;208821,71676146722;207330,8641030019
194889,07168937317;208821,71676146722;207607,54819842544
192108,19654712;208821,71676146722;207274,22785244018
195599,31062719168;208821,71676146722;207517,6328500686
194161,06747003208;208821,71676146722;208069,38364176077
188817,79704578785;208821,71676146722;207303,86174549413
198643,33530980546;208821,71676146722;208016,42307058777
191289,38928743376;208821,71676146722;207889,58475792126
188179,11704743624;208821,71676146722;207192,43457540733
195024,08887602805;209023,072938516;207671,6563478332
194878,74045395994;208821,71676146722;207575,39262979612
191988,42073548748;208821,71676146722;207705,02204629555
195668,82542492094;208821,71676146722;207823,768392894
198039,10514897772;208821,71676146722;208334,75874730703
192955,1445204136;208821,71676146722;207259,45691633289
193469,3252443624;208821,71676146722;207163,4397172804
196482,65061335225;208821,71676146722;207525,039732143
194902,1761545643;208821,71676146722;207211,6192762406
194861,70125474813;209119,87950493794;207716,10268537377
194791,54166373276;209119,87950493794;207381,807956895
192707,80564695038;209119,87950493794;207112,08646968688
193891,49939363194;209522,55911835106;207688,83720057926
197992,73485246394;209522,55911835106;207593,72884024333
196873,44690049707;209522,55911835106;207859,34368446417
197381,6488105114;209522,55911835106;207810,21236986152
192366,3728447462;209522,55911835106;208057,7561757707
197829,1420830636;209522,55911835106;208129,16934773757
197204,61850263792;209522,55911835106;208122,7462114258
196448,38489882613;209522,55911835106;208153,1984531318
196377,50264698855;209522,55911835106;208287,23441617168
197234,61165927676;209522,55911835106;208384,2530159948
197893,74915861175;209522,55911835106;208382,890125571
195939,12956383397;209522,55911835106;208074,6309790915
194629,530298834;209522,55911835106;208246,9860821008
195631,69980207641;209522,55911835106;207860,30274519767
195570,5935610167;209522,55911835106;208210,1374939836
194952,4779014593;209522,55911835106;208221,7446693312
194379,21825472952;209522,55911835106;208317,5445377642
197035,31370088444;209522,55911835106;208579,92825455076
196493,73335499052;209522,55911835106;208306,99326482287
199363,18966095068;209522,55911835106;208673,56456351295
181806,00378508095;209522,55911835106;208236,8356126265
196764,83448512532;209522,55911835106;208552,25838252914
191316,84603452624;209843,77122672537;207792,4466177956
195768,8059635904;209843,77122672537;208643,93010752875
195756,81599777925;209522,55911835106;208583,9887972807
193564,22090048803;209522,55911835106;208058,2973638045
191363,61365786064;209522,55911835106;208048,1905628204
191335,68007847125;209522,55911835106;208077,31075864952
195746,95463914552;209522,55911835106;208137,59118634672
197176,53012990265;209522,55911835106;208715,48015999398
189532,99648049538;209522,55911835106;207927,49932616952
194946,650801588;209522,55911835106;208054,47840560385
196301,3882862311;209522,55911835106;208786,09922813452
198368,71231523663;209522,55911835106;208167,2764956004
194915,57000221906;209522,55911835106;207871,75464487838
198721,1798467908;209522,55911835106;208250,12788302518
194536,6837401383;209522,55911835106;208473,20735714547
192662,11036845212;209522,55911835106;208285,61292941892
193498,18868181447;209522,55911835106;208408,0408412733
199135,81647044275;209522,55911835106;208159,61750920318
197022,06775125675;209522,55911835106;208587,60861951974
197317,26135790235;209522,55911835106;207980,85207480774
197115,45781776792;209522,55911835106;208564,2243020813
193997,15973857435;209522,55911835106;208343,56262539062
194244,0031627351;209522,55911835106;207785,52803020127
197690,2430072127;209522,55911835106;208040,59241690687
191770,14433536716;209522,55911835106;208486,23962632997
196931,4900512906;209522,55911835106;208527,3887790923
193574,65878990156;209522,55911835106;208400,67889338837
190159,92895616702;209522,55911835106;208129,4982540866
197945,0617095199;209522,55911835106;208385,5565005289
198107,78320659843;209522,55911835106;208307,08933939633
190812,41947788943;209522,55911835106;207711,18431987733
189138,9672097846;209522,55911835106;208392,74972624957
193007,79311752494;209522,55911835106;208548,4904772452
185258,301994644;209522,55911835106;208026,8972870105
192841,42800050188;209522,55911835106;207982,40040595608
193176,9571426313;209522,55911835106;208075,7731126289
197170,47634938965;209522,55911835106;208156,1810970747
195188,49386072933;209522,55911835106;207426,6096469699
195320,85224870552;209522,55911835106;208595,2913260934
196904,84947158597;209522,55911835106;208341,41664032202
194355,65343494382;209522,55911835106;207598,96977455157
200515,43184008336;209522,55911835106;208384,33105393403
188638,83178876416;209522,55911835106;207802,14767076392
201014,35730444503;209522,55911835106;208991,15077529143
193418,82354229526;209522,55911835106;207870,6879893156
193777,6150915383;209522,55911835106;207801,48772105313
198503,88451215316;209522,55911835106;207936,16239379998
195982,7822382196;209522,55911835106;208336,144683883
192766,46249449087;209522,55911835106;208019,11936157662
192050,09912433688;209522,55911835106;207708,64977059606
198132,0554039926;209522,55911835106;208789,04720013612
194393,77046429738;209522,55911835106;207777,181480011
194356,91568734436;209522,55911835106;208176,69104257238
194097,23399811267;209522,55911835106;208028,74964859514
191018,38487042772;209522,55911835106;207944,21390900709
196416,92176194102;209522,55911835106;207931,7816336198
191142,3749373515;209522,55911835106;208154,48879947275
194248,33543919877;209522,55911835106;208335,89484364112
199543,47892740427;209522,55911835106;208729,6458935967
198801,49214834382;209522,56390205817;208073,96148259277
189625,17285509894;209522,56390205817;207804,18747029212
197153,99892305746;209522,55911835106;208033,27349136706
191711,20057890873;209522,55911835106;207956,21809763563
191246,07643851117;209522,55911835106;208447,68076397522
188297,82653578278;209522,55911835106;208209,21893940822
190016,5436562905;209522,55911835106;208095,02941578743
188942,8104502657;209522,55911835106;208221,5237379908
192116,71397744122;209522,55911835106;208371,68007517536
195670,81776248012;209522,55911835106;208066,82360599714
199481,1248164035;209522,55911835106;208328,9642289475
200884,33587220113;209522,55911835106;208730,81494475732
184222,13015427126;209522,55911835106;207866,82931071264
187155,16765422752;209522,55911835106;208258,27787811897
194244,0031627351;209522,55911835106;208375,5111311582
196716,94832335704;209522,55911835106;207735,07419987646
193039,76045491564;209522,55911835106;208505,93190212784
185925,34396534337;209522,55911835106;208192,11268407243
198114,09836571745;209522,55911835106;208343,44151371077
190541,25171307893;209522,55911835106;208039,47259808012
196163,3886588203;209522,55911835106;208151,59686734155
193703,80904872512;209522,55911835106;207949,66380639578
192190,54128748237;209522,55911835106;208476,70284863992
197315,6656150733;209522,55911835106;208518,48030679097
194928,05132305546;209522,55911835106;207734,34396287496
197923,52367967693;209522,55911835106;208619,10150816294
197063,65366645358;209522,55911835106;207988,04590203063
189905,02581229171;209522,55911835106;206998,4772562983
196663,61793911923;209522,55911835106;208524,1151694646
193705,79574342864;209522,55911835106;208088,76365614388
192004,4196965705;209522,55911835106;208365,79592405356
194560,23788805667;209522,55911835106;208199,2060999635
195418,0657804012;209522,55911835106;208688,38037344732
195349,92449425533;209522,55911835106;208181,60736612853
196661,37343942557;209522,55911835106;208358,7632708241
198450,95502823897;209522,55911835106;208631,45490774274
194748,6380384915;209522,55911835106;208097,09976910317
194541,04807803946;209522,55911835106;208321,89497184762
192645,44302353522;209522,55911835106;208345,00781347047
196594,62216539713;209522,55911835106;208379,63064831204
195110,9744126684;209522,55911835106;207956,64983421535
196779,73041399958;209522,55911835106;208329,57206449728
195920,55771540466;209522,55911835106;208334,31287021798
200038,32103206654;209522,55911835106;208362,093052192
199884,1381699746;209522,55911835106;208778,93614255928
195586,70143576426;209843,77122672537;208339,80510583855
196876,3370152517;209843,77122672537;208505,72121296628
191865,69262525195;209522,55911835106;208013,56459932757
190960,07084015917;209522,55911835106;207731,8369378851
188953,83629241405;209522,5918568258;207452,74557843915
192716,2018986377;209522,5918568258;208541,96195225883
189842,93666388828;209522,5918568258;207902,68252942458
195175,1450644011;209522,5918568258;208169,54169803232
196991,40116992232;209522,5918568258;208365,51105267304
196648,82697031903;209522,5918568258;208566,92542176697
193362,9005684732;209522,5918568258;208122,0572710186
187511,4229777546;209522,5918568258;207666,16401925765
186171,85714161914;209537,39317458004;208589,58631961243
193944,96559227334;209537,39317458004;208546,4149666196
185811,96242353096;210728,42111291538;208465,4787137689
189582,78698543966;210728,42111291538;207941,93912107818
194045,75566913493;210728,42111291538;207943,45241954442
194802,12480378218;210728,42111291538;208072,298971445
195840,79354089347;210728,42111291538;208211,12828254423
196772,93560917076;210728,42111291538;208585,97862541713
192952,86361920118;210728,42111291538;208933,99044108356
197166,7004350003;210728,42111291538;209290,21218944504
191979,26537332637;211016,55081660917;209344,3770269605
197663,79027377645;211016,55081660917;209218,01849391218
190396,87389124834;211016,55081660917;208524,46540995679
195253,0542496863;211016,55081660917;209134,88398867997
192182,46915674082;211016,55081660917;208718,5327437352
193081,93634146985;211016,55081660917;209041,3130975782
193997,15973857435;211016,55081660917;208993,71245504162
188987,37737870807;211016,55081660917;208883,02496525898
194244,0008916246;211016,55081660917;209594,96082979054
195650,7696296033;211016,55081660917;209851,25524510347
197437,27424870015;211016,55081660917;209699,41068971076
194142,0208226148;211016,55081660917;208717,84410582538
199603,38872266386;211016,55081660917;209766,4363746039
192522,46476614877;211016,55081660917;209546,8116769441
199816,50316657085;211016,55081660917;209709,80041701003
191558,9559802214;211016,55081660917;209705,03144900207
199670,48054281413;211016,55081660917;210225,0779634846
196745,19146576623;211016,55081660917;209064,53236056806
196581,93369338982;211016,55081660917;209469,00037255968
194739,10455161316;211016,55081660917;209545,6210967972
195840,79354089347;211016,55081660917;209803,0040693335
198792,15663877726;211016,55081660917;209747,25101994307
187981,11402167208;211217,91255033674;208532,6982529068
195886,24747850804;211217,91255033674;209313,66076631862
191115,30815986663;211217,91255033674;209250,1735223727
191600,6840707377;211217,91255033674;208948,25732891817
186099,11379136218;211217,91255033674;209215,17789005477
189116,5001888011;211320,49872797407;209918,00642172102
194801,54265609878;211320,49872797407;209322,51331670606
188962,44783380209;211320,49872797407;209894,0305221687
181452,09452168134;211620,60323877342;208682,31613801722
191477,7010621613;211620,60323877342;209634,50890674905
194041,82539138716;211949,58612686867;209505,98316790242
191783,02875511284;211949,58612686867;209869,73632844485
195290,85291496967;212149,76680941746;210199,48668637848
186099,11379136218;212352,29079126485;209965,5699958108
189124,40663000208;212352,29079126485;209975,38200368197
190425,4207344825;212352,29079126485;210053,06086164239
192321,05643737968;212454,89435215315;209503,1298134934
187987,817760198;212454,89435215315;209563,93752763252
176238,44725353224;212454,89435215315;209868,96282489214
194975,44237468732;212454,89435215315;210187,0652246277
186829,56445661484;212454,89435215315;210649,02501039434
194224,21389408747;212454,89435215315;210941,64488591914
186847,37150576548;212454,89435215315;210242,7035524348
189582,78698543966;212454,89435215315;209391,29787619493
195767,3376708988;212663,45364905318;209861,4555354126
190280,92072853126;212663,45364905318;210220,25077036553
186286,25253745646;212663,45364905318;210078,61935068772
194330,32036684832;212663,45364905318;210304,7488559952
195507,73717520083;212663,45364905318;210707,33319030245
186357,36685998633;212663,45364905318;210147,5202681622
194247,89370408579;212663,45364905318;210499,3988075971
188925,82422203905;212663,45364905318;210607,06037385867
191316,35738616556;212663,45364905318;210164,28540788285
198792,15663877726;212663,45364905318;211263,54875116507
191171,3988666226;212663,45364905318;210978,9899259296
186762,02568290895;212663,45364905318;210163,62029185437
184177,26925526257;212663,45364905318;210321,69803105143
195385,53530590574;212663,45364905318;211034,53347504995
191827,16625490936;212663,45364905318;210421,12411302858
193319,72391677857;212663,45364905318;210908,3607402113
198719,89100504102;212663,45364905318;211156,11773932117
197954,77696514537;212663,45364905318;210296,48300579138
191171,3988666226;212663,45364905318;210598,22136050113
192304,88538995944;212663,45364905318;210919,18441768474
194278,61869459215;212663,45364905318;210847,61905949126
178326,7805586319;213455,85669883693;210723,00597781054
190280,92072853126;213858,56788454216;210764,25375838138
187534,76922327915;213858,56788454216;211216,0473393271
191191,91690215978;213858,56788454216;211767,6412195996
193666,960385777;213858,56788454216;211203,90797888112
182933,04997860425;213858,56788454216;210978,35002272355
189613,7680154891;213858,56788454216;211835,91029355445
197311,46886713413;213858,56788454216;212014,05986602005
194359,7324819786;213858,56788454216;210636,95424334946
186487,21711722013;213858,56788454216;211718,54576409058
183217,16528561793;213858,56788454216;211048,3039593522
184004,87058414257;213858,56788454216;211463,67961793655
193346,84776553334;213858,56788454216;211531,8403432876
200033,127374293;213858,56788454216;212628,98369391353
184177,26925526257;213858,56788454216;210961,04218271878
189360,9585781375;213858,56788454216;211944,59860335462
194746,64766537852;213858,56788454216;211823,2242478978
194520,57040283538;213858,56788454216;211558,67296345704
185608,30030167266;213858,56788454216;211984,52063317734
183429,36345079547;213858,56788454216;210245,38141450397
190957,5560546733;213858,56788454216;212040,32631754357
191171,3988666226;213858,56788454216;210095,00506396327
175552,7382362434;213858,56788454216;210920,7902462548
193416,05650987278;213858,56788454216;211501,4302968904
197101,44945920332;213858,56788454216;211895,6101896559
196537,82373189475;213858,56788454216;212259,77823388635
189106,33639163367;213858,56788454216;210975,2953689309
190460,23211082665;213858,56788454216;210894,62001866754
190686,729606917;213858,56788454216;211509,21435072797
183752,36467441183;213858,56788454216;210966,24559189015
190557,58042690356;213858,56788454216;211504,64994083944
195700,7555063737;213858,56788454216;212011,32551535667
196652,52990689475;213858,56788454216;211890,85550534003
195017,38157064904;213858,56788454216;211952,89459357143
185103,21754651994;213858,56788454216;211664,75173916863
185165,13690280495;213858,56788454216;212282,82275971904
193418,65492239664;213858,56788454216;212115,8799949733
193257,32054587576;213858,56788454216;211771,69521909748
193257,32054587576;213858,56788454216;211580,14051138613
196031,91697955347;213858,56788454216;212290,0330252421
190893,09189964595;213858,56788454216;210928,7828095152
183540,17618226272;213858,56788454216;212311,06540866586
189309,1338042348;213858,56788454216;211207,85207729132
187086,20904291957;213858,56788454216;211603,61308450028
191310,48022579047;213858,56788454216;212392,01183349697
191145,10609588903;213858,56788454216;211576,45849166726
189567,66780106438;213858,56788454216;211551,36358692392
192773,90538560488;213858,56788454216;210789,06758659787
181962,5461739208;213858,56788454216;210422,67418174844
190393,35428625456;213858,56788454216;210914,46681725822
